Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Austin Bergner","DET","AA",26,51,0.3129771,1.122448979,0.20610687,0.419847328,0.374045801,0.122448979,0.122448979,0.48905109,0.27737226,0.23357664,0.12553648,352,580,932,"sa3011122"
"Mike Ruff","COL","AA",25,72,0.30582524,0.896907216,0.174887892,0.390134529,0.434977578,0.164948453,0.18556701,0.45535714,0.30803571,0.23660714,0.07838661,502,812,1314,"sa3011125"
"Grant Gambrell","BOS","AA",25,84.1,0.2699115,1.2,0.186956521,0.44347826,0.369565217,0.176470588,0.117647058,0.50212766,0.23404255,0.26382979,0.11145273,473,828,1301,"sa3011129"
"Antoine Kelly","TEX","AA",23,50.2,0.27731092,1.606060606,0.27118644,0.449152542,0.279661016,0.121212121,0.121212121,0.40650407,0.16260163,0.43089431,0.15107103,323,564,887,"sa3011135"
"Daniel Juarez","NYM","AA",22,41.1,0.23423423,0.607142857,0.203539823,0.300884955,0.495575221,0.357142857,0.071428571,0.44736842,0.21052632,0.34210526,0.15994021,219,450,669,"sa3011139"
"Jimmy Robbins","TOR","AA",25,86.2,0.29831933,0.979797979,0.17299578,0.4092827,0.417721518,0.171717171,0.07070707,0.49387755,0.2122449,0.29387755,0.11325783,589,912,1501,"sa3011145"
"Connor Lunn","STL","AA",24,130,0.33756345,0.897435897,0.269135802,0.345679012,0.385185185,0.217948717,0.108974358,0.3902439,0.24878049,0.36097561,0.10494118,750,1375,2125,"sa3011189"
"Ryan Garcia","TEX","AA",25,98.2,0.31174089,0.860869565,0.186311787,0.376425855,0.437262357,0.2,0.173913043,0.40449438,0.31835206,0.27715356,0.12292002,736,1127,1863,"sa3011190"
"T.J. Sikkema","KCR","AA",24,72.1,0.26041667,1.397058823,0.180904522,0.477386934,0.341708542,0.117647058,0.161764705,0.48275862,0.17241379,0.34482759,0.09013605,459,717,1176,"sa3011191"
"Brett Schulze","PHI","AA",25,34.2,0.30985915,0.838709677,0.208333333,0.361111111,0.430555555,0.225806451,0.096774193,0.45333333,0.25333333,0.29333333,0.18086957,216,359,575,"sa3011195"
"Josh Hendrickson","PHI","AA",25,98,0.30363036,0.791366906,0.216981132,0.345911949,0.437106918,0.26618705,0.165467625,0.44785276,0.31595092,0.23619632,0.1039039,617,1048,1665,"sa3011196"
"Michael Dominguez","TOR","AA",22,35.2,0.15277778,0.32,0.204819277,0.192771084,0.602409638,0.22,0.22,0.43373494,0.26506024,0.30120482,0.11669368,263,354,617,"sa3011198"
"Jeff Belge","TBR","AA",25,51.2,0.32786885,1.019607843,0.134453781,0.436974789,0.428571428,0.372549019,0.039215686,0.37903226,0.2016129,0.41935484,0.14564103,379,596,975,"sa3011231"
"Alec Gamboa","LAD","AA",26,36,0.17241379,1.424242424,0.101123595,0.528089887,0.370786516,0.272727272,0.06060606,0.50561798,0.21348315,0.28089888,0.11744387,225,354,579,"sa3011249"
"Aidan Anderson","TEX","AA",26,54.1,0.3649635,0.87755102,0.308270676,0.32330827,0.368421052,0.244897959,0.040816326,0.4028777,0.28776978,0.30935252,0.15051546,340,630,970,"sa3011250"
"Taylor Floyd","MIN","AA",25,37.2,0.36792453,1.1,0.222222222,0.407407407,0.37037037,0.325,0.15,0.41964286,0.26785714,0.3125,0.14746544,250,401,651,"sa3011367"
"Drew Parrish","KCR","AA",25,33,0.27472527,0.612244897,0.193877551,0.306122448,0.5,0.285714285,0.163265306,0.47474747,0.18181818,0.34343434,0.14211438,204,373,577,"sa3011395"
"Nick Bennett","MIL","AA",25,64,0.29714286,1.125,0.140449438,0.455056179,0.404494382,0.236111111,0.125,0.45652174,0.23913043,0.30434783,0.14043355,386,675,1061,"sa3011410"
"Evan Fitterer","MIA","AA",23,107,0.27777778,2.035714285,0.138513513,0.577702702,0.283783783,0.214285714,0.178571428,0.39273927,0.21122112,0.3960396,0.09630005,837,1136,1973,"sa3011433"
"Michael Cuevas","WSN","AA",22,97.2,0.33442623,1.67032967,0.218649517,0.48874598,0.292604501,0.208791208,0.109890109,0.51111111,0.24126984,0.24761905,0.10351201,630,993,1623,"sa3011437"
"Ryan Jensen","CHC","AA",25,32.1,0.37647059,1.807692307,0.170454545,0.534090909,0.295454545,0.076923076,0.153846153,0.48314607,0.24719101,0.26966292,0.11925043,233,354,587,"sa3011496"
"Spencer Stockton","CIN","AA",27,43,0.28440367,0.615384615,0.263157894,0.280701754,0.45614035,0.173076923,0.115384615,0.43478261,0.23478261,0.33043478,0.13270777,267,479,746,"sa3011500"
"Houston Roth","BAL","AA",25,79,0.27179487,0.912087912,0.171428571,0.395238095,0.433333333,0.219780219,0.186813186,0.41428571,0.2952381,0.29047619,0.12905452,577,872,1449,"sa3011527"
"Mitchell Stumpo","ARI","AA",27,33.2,0.39473684,1.071428571,0.283950617,0.37037037,0.345679012,0.071428571,0.214285714,0.5,0.2804878,0.2195122,0.17318436,294,422,716,"sa3011585"
"Conor Grammes","ARI","AA",25,45.2,0.35353535,1.629629629,0.29,0.44,0.27,0.148148148,0.185185185,0.49038462,0.16346154,0.34615385,0.15105386,363,491,854,"sa3011651"
"Peyton Plumlee","HOU","AA",26,47,0.36567164,1.058823529,0.233576642,0.394160583,0.372262773,0.156862745,0.117647058,0.45,0.24285714,0.30714286,0.09832402,345,550,895,"sa3011654"
"Kendall Williams","LAD","AA",22,39,0.25663717,1.606060606,0.225225225,0.477477477,0.297297297,0.212121212,0.03030303,0.5,0.20175439,0.29824561,0.12183544,254,378,632,"sa3011674"
"Lucas Knowles","WSN","AA",25,44.1,0.27826087,1.307692307,0.256198347,0.421487603,0.322314049,0.179487179,0.205128205,0.53658537,0.22764228,0.23577236,0.13730929,262,459,721,"sa3011676"
"Brendan Cellucci","BOS","AA",25,51,0.38970588,1.204081632,0.217391304,0.427536231,0.355072463,0.224489795,0.142857142,0.52447552,0.23776224,0.23776224,0.13819369,364,555,919,"sa3011710"
