"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
111298,677595,"Ronny Mauricio",22,2023,"NYM",26,108,101,25,19,4,0,2,35,11,9,7,31,0,7,0,0,0,3,36.4
111305,677592,"Everson Pereira",22,2023,"NYY",26,103,93,14,10,4,0,0,18,6,10,8,40,2,4,0,0,0,1,33.3
111317,677551,"Wander Franco",22,2023,"TB",112,491,442,124,78,23,6,17,210,65,58,42,69,3,30,10,0,4,18,38.5
111352,682928,"CJ Abrams",22,2023,"WSH",151,614,563,138,86,28,6,18,232,83,64,32,118,13,47,4,3,3,9,32.5
112997,678545,"Osleivis Basabe",22,2023,"TB",31,94,87,19,13,5,0,1,27,15,12,6,25,1,0,1,0,0,2,20
114935,671732,"Lawrence Butler",22,2023,"OAK",41,129,123,26,18,4,0,4,42,10,10,4,35,1,0,0,0,1,5,50
122787,682998,"Corbin Carroll",22,2023,"AZ",153,645,565,161,96,30,10,25,286,116,76,57,125,13,54,5,6,4,8,31
122795,682985,"Riley Greene",22,2023,"DET",99,416,378,109,75,19,4,11,169,51,37,35,114,1,7,0,0,2,11,39.2
122896,671739,"Michael Harris II",22,2023,"ATL",138,539,505,148,94,33,3,18,241,76,57,25,101,5,20,4,1,3,10,46.1
123218,683002,"Gunnar Henderson",22,2023,"BAL",150,622,560,143,77,29,9,28,274,100,82,56,159,3,10,3,0,3,11,37
128864,678554,"Curtis Mead",22,2023,"TB",24,92,83,21,16,3,1,1,29,12,5,7,21,2,0,0,0,0,3,16.7
132154,678894,"Liover Peguero",22,2023,"PIT",56,213,198,47,35,4,1,7,74,21,26,11,67,1,6,2,2,1,6,47.6
133479,678882,"Ceddanne Rafaela",22,2023,"BOS",26,89,83,20,12,6,0,2,32,11,5,4,28,1,3,1,0,1,2,27.3
134616,677587,"Brayan Rocchio",22,2023,"CLE",23,86,81,20,14,6,0,0,26,9,8,4,27,0,0,0,0,1,4,11.1
134822,677594,"Julio Rodríguez",22,2023,"SEA",155,714,654,180,109,37,2,32,317,102,103,47,175,11,37,10,0,2,14,39.2
135022,679032,"Johan Rojas",22,2023,"PHI",50,164,149,45,32,9,2,2,64,24,23,5,42,4,14,1,6,0,1,50
138565,677588,"José Tena",22,2023,"CLE",15,34,31,7,5,2,0,0,9,2,3,3,13,0,0,0,0,0,0,0
140156,683011,"Anthony Volpe",22,2023,"NYY",157,601,541,113,65,23,4,21,207,62,60,52,167,5,24,5,1,2,10,41.9
144145,687093,"Vaughn Grissom",22,2023,"ATL",22,80,75,21,17,3,1,0,26,5,9,2,15,2,0,1,0,1,2,20
144429,687263,"Zach Neto",22,2023,"LAA",82,329,289,65,39,17,0,9,109,38,34,20,77,16,5,1,1,3,5,47.4
108518,666703,"Eguy Rosario",23,2023,"SD",10,37,36,9,5,1,1,2,18,6,6,1,12,0,0,0,0,0,1,33.3
109139,671277,"Luis García Jr.",23,2023,"WSH",122,482,447,119,88,18,4,9,172,61,50,27,60,0,9,4,1,7,11,21.3
109355,672356,"Gabriel Arias",23,2023,"CLE",110,345,315,66,41,15,0,10,111,36,26,28,113,1,3,4,0,1,10,36.1
109543,672744,"Alexander Canario",23,2023,"CHC",6,17,17,5,2,1,1,1,11,1,6,0,8,0,0,0,0,0,0,100
109864,672580,"Maikel Garcia",23,2023,"KC",123,515,464,126,98,20,4,4,166,59,50,38,115,2,23,7,1,10,10,22
110017,671056,"Iván Herrera",23,2023,"STL",12,44,37,11,9,2,0,0,13,6,4,5,11,2,0,0,0,0,1,0
110245,672779,"Tucupita Marcano",23,2023,"PIT",68,220,202,47,30,12,2,3,72,16,18,10,35,3,5,2,3,2,2,18.8
110402,672515,"Gabriel Moreno",23,2023,"AZ",107,380,341,97,70,19,1,7,139,33,50,29,75,3,6,2,0,7,17,30.3
110535,672724,"Oswald Peraza",23,2023,"NYY",52,191,173,33,23,8,0,2,47,15,14,13,50,5,4,3,0,0,2,46.7
110536,672695,"Geraldo Perdomo",23,2023,"AZ",138,495,407,100,70,20,4,6,146,71,47,64,86,6,16,4,14,4,4,21.1
110621,671218,"Heliot Ramos",23,2023,"SF",25,60,56,10,5,4,0,1,17,5,2,4,20,0,0,0,0,0,1,20
