Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Giancarlo Stanton","NYY",0.424242424,1.333333333,0.222222222,0.444444444,0.333333333,0.166666666,0.25,3,0.1875,0,0,0.44444444,0.38888889,0.16666667,0.27777778,0.30555556,0.41666667,"Giancarlo Stanton",4949,519317
"Mark Trumbo","BAL",0.208333333,1.714285714,0.208333333,0.5,0.291666666,0.142857142,0,0,0,0,0,0.41666667,0.45833333,0.125,0.20833333,0.375,0.41666667,"Mark Trumbo",6876,444432
"Tyler Flowers","ATL",0.324840764,1.310344827,0.202380952,0.452380952,0.345238095,0.120689655,0.189655172,6,0.078947368,0,0,0.42261905,0.33333333,0.24404762,0.14285714,0.44047619,0.41666667,"Tyler Flowers",9134,452095
"Bryan Holaday","MIA",0.307692307,1.74074074,0.221052631,0.494736842,0.284210526,0.185185185,0.148148148,5,0.106382978,0,0,0.47916667,0.34375,0.17708333,0.17708333,0.40625,0.41666667,"Bryan Holaday",11287,592407
"Jesús Aguilar","- - -",0.271929824,1.109890109,0.2,0.420833333,0.379166666,0.076923076,0.131868131,4,0.03960396,0,0,0.37083333,0.36666667,0.2625,0.1625,0.42083333,0.41666667,"Jesus Aguilar",11342,542583
"Kean Wong","- - -",0.25,3.5,0.181818181,0.636363636,0.181818181,0,0,1,0.142857142,1,1,0.58333333,0.08333333,0.33333333,0.16666667,0.41666667,0.41666667,"Kean Wong",15994,642221
"Matt Carpenter","STL",0.285198555,0.733870967,0.253472222,0.315972222,0.430555555,0.024193548,0.120967741,5,0.054945054,3,0.6,0.46416382,0.29351536,0.24232082,0.11262799,0.47098976,0.41638225,"Matt Carpenter",8090,572761
"Chad Pinder","OAK",0.283950617,1.666666666,0.21875,0.48828125,0.29296875,0.106666666,0.173333333,4,0.032,0,0,0.36575875,0.39688716,0.23735409,0.15953307,0.42412451,0.41634241,"Chad Pinder",15191,640461
"Rowdy Tellez","TOR",0.266949152,1.020618556,0.237354085,0.385214007,0.377431906,0.103092783,0.216494845,1,0.01010101,0,0,0.42023346,0.39299611,0.18677043,0.15564202,0.42801556,0.41634241,"Rowdy Tellez",15679,642133
"Paul DeJong","STL",0.258536585,0.851282051,0.179545454,0.377272727,0.443181818,0.123076923,0.153846153,11,0.06626506,0,0,0.475,0.33181818,0.19318182,0.19090909,0.39318182,0.41590909,"Paul DeJong",18015,657557
"Josh Naylor","SDP",0.302197802,1.771929824,0.168421052,0.531578947,0.3,0.122807017,0.140350877,4,0.03960396,0,0,0.38947368,0.37368421,0.23684211,0.18421053,0.4,0.41578947,"Josh Naylor",18839,647304
"Travis d'Arnaud","- - -",0.28125,1.057142857,0.205882352,0.408088235,0.386029411,0.18095238,0.152380952,3,0.027027027,0,0,0.38602941,0.33455882,0.27941176,0.19117647,0.39338235,0.41544118,"Travis d'Arnaud",7739,518595
"Chance Sisco","BAL",0.275510204,0.909090909,0.2,0.38095238,0.419047619,0.022727272,0.181818181,2,0.05,0,0,0.45283019,0.3490566,0.19811321,0.13207547,0.45283019,0.41509434,"Chance Sisco",15694,642082
"Mike Brosseau","TBR",0.344827586,0.925,0.17204301,0.397849462,0.430107526,0.125,0.15,4,0.108108108,0,0,0.39361702,0.30851064,0.29787234,0.27659574,0.30851064,0.41489362,"Mike Brosseau",19683,670712
