Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Matt Chapman","SFG",647,0.098918083,0.244204018,0.405063291,0.246956521,0.327666151,0.462608695,0.790274846,0.215652174,5.571659057504478,0.293367346,6.100000001490116,-0.10000000149011612,2.6017322540283203,1.0771556720137596,91.28461153238707,15.59979918777637,0.34013576694527026,120.8136118890585,"Matt Chapman",16505,656305
"Willy Adames","MIL",688,0.107558139,0.251453488,0.427745664,0.250819672,0.331395348,0.462295081,0.793690429,0.211475409,4.433158213874132,0.296568627,0.4999999850988388,0.20000000298023224,-0.09257011115550995,1.3171868473291397,98.06381335588893,17.582900074448172,0.34193181539103934,120.35716481776153,"Willy Adames",15986,642715
"Yandy Díaz","TBR",621,0.080515297,0.152979066,0.526315789,0.280639431,0.341384863,0.413854351,0.755239214,0.13321492,1.0887334275,0.31441048,-2,-1.2999999523162842,-2.3256711959838867,-1.3101421147584915,82.81682198841915,10.173439506188483,0.3305333292234731,120.34472436052373,"Yandy Diaz",16578,650490
"JJ Bleday","OAK",642,0.10436137,0.194704049,0.536,0.243006993,0.324492979,0.437062937,0.761555916,0.194055944,3.2025446969557985,0.278688524,-2.0999999046325684,1.399999976158142,-0.6886841654777527,-1.9120659306645393,85.45509124868353,10.35516926222285,0.33021923363302047,120.0438407845668,"JJ Bleday",26368,668709
"Heliot Ramos","SFG",518,0.071428571,0.26061776,0.274074074,0.269473684,0.322393822,0.469473684,0.791867506,0.2,4.190042005948293,0.329192546,-0.9999999403953552,-0.30000001192092896,-0.4907782971858978,-0.12841980904340744,72.5186920903445,11.924050986003946,0.3387795454540918,119.90078186173474,"Heliot Ramos",22515,671218
"Jorge Soler","- - -",574,0.118466898,0.245644599,0.482269503,0.24137931,0.338003502,0.442190669,0.780194171,0.200811359,3.073100454545923,0.292537313,-3.600000187754631,0.6999999731779099,-3.518749237060547,-0.8812618628144264,80.85228074645777,13.706867630837152,0.33977710313429554,119.6547747179425,"Jorge Soler",14221,624585
"Christian Walker","ARI",552,0.099637681,0.240942028,0.413533834,0.25052192,0.335144927,0.467640918,0.802785845,0.217118998,2.2282734236255486,0.286585365,1.3999999538064003,-0.10000000149011612,-1.7844569683074951,-1.428135298192501,79.35263953700093,14.780743997240332,0.3434478165241924,119.49611886445915,"Christian Walker",13419,572233
"Elly De La Cruz","CIN",696,0.099137931,0.31321839,0.316513761,0.258899676,0.338616714,0.470873786,0.8094905,0.21197411,8.693407955542142,0.359042553,,,1.8167731761932373,5.641325235366821,102.9665163871542,21.54977853267347,0.34864824028373453,118.98628118151379,"Elly De La Cruz",26668,682829
"Josh Naylor","CLE",633,0.091627172,0.165876777,0.552380952,0.243339253,0.319620253,0.456483126,0.776103379,0.213143873,3.236399162571689,0.245939675,-1.9000000953674316,-2.0999999046325684,-1.8630763292312622,-0.6912746652960777,84.96071058268845,10.913591240897764,0.33160023488998414,118.57730766360805,"Josh Naylor",18839,647304
"Colton Cowser","BAL",561,0.092691622,0.306595365,0.302325581,0.242484969,0.320855614,0.446893787,0.767749401,0.204408818,5.033934289179484,0.316993464,,,1.9450657367706299,-0.8223632499575615,75.2324724524203,9.607774267989695,0.3314574734042923,118.53773026055624,"Colton Cowser",29591,681297
