"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
104004,645277,"Ozzie Albies",27,2024,"ATL",99,435,399,100,60,29,1,10,161,52,53,27,65,5,8,1,0,4,6,42.3
104042,646240,"Rafael Devers",27,2024,"BOS",138,601,525,143,76,34,5,28,271,87,83,67,147,3,3,0,0,6,16,43.7
104123,650333,"Luis Arraez",27,2024,,150,672,637,200,161,32,3,4,250,83,46,24,29,8,9,3,2,1,20,25.3
104180,650402,"Gleyber Torres",27,2024,"NYY",154,665,587,151,110,26,0,15,222,80,63,65,136,3,4,3,2,8,6,41.3
104205,650489,"Willi Castro",27,2024,"MIN",156,635,558,138,90,31,5,12,215,89,60,51,150,21,14,9,1,4,9,32.6
104261,650559,"Bryan De La Cruz",27,2024,,149,622,584,136,90,25,0,21,224,61,68,29,170,3,5,2,0,5,11,50.8
106121,663647,"Ke'Bryan Hayes",27,2024,"PIT",96,396,365,85,72,9,0,4,106,38,25,23,75,4,11,2,0,4,13,31.6
106527,663624,"Ryan Mountcastle",27,2024,"BAL",124,507,473,128,83,30,2,13,201,54,63,27,114,1,3,0,0,6,13,44.4
106548,647304,"Josh Naylor",27,2024,"CLE",152,633,563,137,79,27,0,31,257,84,108,58,105,7,6,2,0,4,19,54.8
106659,663368,"Blake Perkins",27,2024,"MIL",119,434,383,92,71,13,2,6,127,54,43,42,108,3,23,5,0,6,3,27.8
106744,663586,"Austin Riley",27,2024,"ATL",110,469,425,109,62,26,2,19,196,63,56,37,118,5,0,0,0,2,6,50.8
106765,663898,"Brendan Rodgers",27,2024,"COL",133,539,501,134,91,29,1,13,204,67,54,31,132,4,1,0,1,2,13,46.3
106960,663886,"Tyler Stephenson",27,2024,"CIN",136,515,457,118,72,26,1,19,203,69,66,48,117,8,1,0,0,2,10,44.9
109147,670541,"Yordan Alvarez",27,2024,"HOU",147,635,552,170,99,34,2,35,313,88,86,69,95,10,6,0,0,4,14,46.6
109531,676609,"José Caballero",27,2024,"TB",136,483,441,100,66,24,1,9,153,53,44,27,133,9,44,16,3,3,6,28.3
110995,662139,"Daulton Varsho",27,2024,"TOR",133,513,459,98,52,21,7,18,187,73,58,48,137,4,10,2,1,1,2,32.9
113905,664761,"Alec Bohm",27,2024,"PHI",143,606,554,155,94,44,2,15,248,62,97,40,86,6,5,2,0,6,20,37.1
118722,680977,"Brendan Donovan",27,2024,"STL",153,652,587,163,112,34,3,14,245,65,73,47,81,13,5,5,0,5,6,32.3
119003,680776,"Jarren Duran",27,2024,"BOS",160,735,671,191,108,48,14,21,330,111,75,54,160,6,34,7,1,3,6,31.5
123806,663538,"Nico Hoerner",27,2024,"CHC",149,641,582,159,116,35,1,7,217,86,48,44,66,12,31,6,0,3,10,26.7
124341,663697,"Jonathan India",27,2024,"CIN",151,637,533,132,87,28,2,15,209,84,58,80,125,15,13,2,2,7,17,36.9
124395,664728,"Kyle Isbel",27,2024,"KC",134,426,384,88,59,13,8,8,141,62,42,27,88,5,11,2,8,2,4,24.2
124659,680777,"Ryan Jeffers",27,2024,"MIN",121,465,412,93,50,22,0,21,178,56,64,32,94,14,3,0,1,6,10,50
126235,663616,"Trevor Larnach",27,2024,"MIN",112,400,355,92,60,17,0,15,154,59,52,40,89,3,4,1,0,2,14,45.8
