"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Domínguez, Seranthony","622554","2023","224","148",0.246,0.246,0,0.374,0.402,-0.028000000000000025,0.318,0.331,-0.013000000000000012,"3.78","4.67","-0.89"
"Hentges, Sam","656529","2023","223","149",0.26,0.265,-0.0050000000000000044,0.338,0.384,-0.045999999999999985,0.292,0.313,-0.02100000000000002,"3.61","4.13","-0.519"
"Lynch IV, Daniel","663738","2023","223","172",0.245,0.269,-0.02400000000000002,0.426,0.466,-0.040000000000000036,0.312,0.34,-0.028000000000000025,"4.64","4.96","-0.317"
"Hernandez, Jose E.","669796","2023","223","138",0.239,0.236,0.0030000000000000027,0.462,0.418,0.04400000000000004,0.329,0.314,0.015000000000000013,"4.97","4.16","0.814"
"Adam, Jason","592094","2023","222","124",0.181,0.217,-0.036000000000000004,0.342,0.403,-0.061,0.283,0.32,-0.03700000000000003,"2.98","4.33","-1.348"
"Woodford, Jake","663765","2023","222","168",0.314,0.306,0.008000000000000007,0.572,0.529,0.04299999999999993,0.404,0.394,0.010000000000000009,"6.23","7.04","-0.809"
"Silseth, Chase","681217","2023","221","137",0.212,0.233,-0.02100000000000002,0.399,0.389,0.010000000000000009,0.313,0.318,-0.0050000000000000044,"3.96","4.27","-0.315"
"Fleming, Josh","676596","2023","221","177",0.281,0.294,-0.012999999999999956,0.467,0.463,0.0040000000000000036,0.342,0.352,-0.009999999999999953,"4.70","5.37","-0.667"
"Avila, Pedro","658648","2023","220","136",0.23,0.237,-0.0069999999999999785,0.337,0.344,-0.006999999999999951,0.304,0.31,-0.006000000000000005,"3.22","4.04","-0.821"
"Wilson, Steven","621051","2023","219","132",0.185,0.184,0.0010000000000000009,0.354,0.343,0.010999999999999954,0.289,0.285,0.0040000000000000036,"3.91","3.38","0.526"
"Vasquez, Andrew","607755","2023","219","146",0.247,0.222,0.024999999999999994,0.355,0.346,0.009000000000000008,0.316,0.303,0.013000000000000012,"3.35","3.85","-0.498"
"Cueto, Johnny","456501","2023","218","161",0.256,0.253,0.0030000000000000027,0.543,0.49,0.05300000000000005,0.362,0.345,0.017000000000000015,"6.02","5.13","0.889"
"Moore, Matt","519043","2023","218","140",0.232,0.214,0.018000000000000016,0.399,0.37,0.029000000000000026,0.296,0.281,0.014999999999999958,"2.56","3.28","-0.717"
"Vesia, Alex","681911","2023","217","134",0.263,0.231,0.032,0.414,0.391,0.022999999999999965,0.318,0.296,0.02200000000000002,"4.35","3.66","0.689"
"Bernardino, Brennan","657514","2023","216","134",0.25,0.243,0.007000000000000006,0.375,0.377,-0.0020000000000000018,0.313,0.311,0.0020000000000000018,"3.20","4.07","-0.873"
"Rogers, Taylor","573124","2023","216","124",0.211,0.211,0,0.357,0.358,-0.0010000000000000009,0.292,0.293,-0.0010000000000000009,"3.83","3.58","0.252"
"Speier, Gabe","642100","2023","216","138",0.235,0.243,-0.008000000000000007,0.375,0.392,-0.017000000000000015,0.278,0.29,-0.011999999999999955,"3.79","3.50","0.287"
"Sborz, Josh","622250","2023","215","130",0.219,0.216,0.0030000000000000027,0.383,0.365,0.018000000000000016,0.291,0.284,0.007000000000000006,"5.50","3.35","2.153"
"Mayza, Tim","641835","2023","215","147",0.251,0.252,-0.0010000000000000009,0.342,0.355,-0.012999999999999956,0.279,0.284,-0.004999999999999949,"1.52","3.35","-1.831"
"Gonzales, Marco","594835","2023","215","163",0.282,0.287,-0.0050000000000000044,0.431,0.443,-0.01200000000000001,0.334,0.349,-0.014999999999999958,"5.22","5.27","-0.05"
