"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
142386,683769,"Hunter Gaddis",26,2024,"CLE",78,0,0,74.7,6,3,0,5,33,1.57,16,13,23,14,2,4,73,14,66,4,278,1075
143823,686539,"Declan Cronin",26,2024,"MIA",56,0,0,70.3,3,4,0,1,8,4.35,41,34,57,16,1,1,96,26,72,5,307,1098
144245,687330,"Kevin Kelly",26,2024,"TB",68,0,0,70.7,5,2,1,3,17,2.67,25,21,42,8,2,7,92,9,63,5,278,1033
144465,686752,"Ryan Pepiot",26,2024,"TB",26,26,0,130,8,8,0,0,0,3.6,58,52,65,18,2,17,175,48,142,7,539,2148
144606,686730,"Carson Spiers",26,2024,"CIN",22,10,0,90.7,5,7,0,0,1,5.46,59,55,65,24,3,20,202,27,80,5,410,1554
145080,687765,"Mitch Spence",26,2024,"OAK",35,24,0,151.3,8,10,0,0,1,4.58,79,77,101,41,3,20,272,44,126,6,651,2481
145443,689225,"Beau Brieske",26,2024,"DET",46,12,0,67.7,4,5,1,1,6,3.59,31,27,36,11,3,5,87,30,69,2,282,1152
146392,689017,"Landon Knack",26,2024,"LAD",15,12,0,69,3,5,1,0,0,3.65,28,28,33,9,2,14,113,18,69,3,286,1149
104258,650556,"Bryan Abreu",27,2024,"HOU",78,0,0,78.3,3,3,1,7,38,3.1,27,27,39,10,1,9,98,32,103,6,325,1300
104481,650893,"Génesis Cabrera",27,2024,"TOR",69,0,0,62.7,3,3,2,3,13,3.59,31,25,42,11,0,10,104,29,50,2,271,1030
104499,650911,"Cristopher Sánchez",27,2024,"PHI",31,31,2,181.7,11,9,0,0,0,3.32,76,67,135,34,2,11,253,44,153,0,754,2797
105007,657277,"Logan Webb",27,2024,"SF",33,33,1,204.7,13,10,0,0,0,3.47,83,79,152,35,4,11,278,50,172,2,841,3201
105525,658648,"Pedro Avila",27,2024,,54,0,0,82.7,6,1,1,0,1,3.81,38,35,50,14,1,8,113,36,82,4,353,1419
105936,663559,"Bailey Falter",27,2024,"PIT",28,28,0,142.3,8,9,0,0,0,4.43,72,70,86,34,1,17,225,45,97,0,589,2137
107190,663542,"Bryan Hudson",27,2024,"MIL",43,0,0,62.3,6,1,0,3,14,1.73,12,12,13,7,1,7,58,17,62,3,231,927
107254,663776,"Patrick Sandoval",27,2024,"LAA",16,16,0,79.7,2,8,0,0,0,5.08,49,45,61,16,0,8,125,35,81,3,353,1444
107962,663855,"Jordan Hicks",27,2024,"SF",29,20,0,109.7,4,7,1,0,2,4.1,54,50,75,23,2,12,175,47,96,9,481,1958
111134,663878,"Nate Pearson",27,2024,,60,1,0,66.3,2,2,2,2,11,4.48,34,33,41,14,0,12,117,21,74,3,285,1060
117180,681867,"Cooper Criswell",27,2024,"BOS",26,18,0,99.3,6,5,0,1,0,4.08,52,45,69,22,2,10,159,31,73,7,424,1756
119844,663372,"Ryan Feltner",27,2024,"COL",30,30,0,162.3,3,10,0,0,0,4.49,94,81,116,27,2,20,256,52,138,7,692,2571
121380,669302,"Logan Gilbert",27,2024,"SEA",33,33,1,208.7,9,12,0,0,0,3.23,83,75,82,39,1,26,267,37,220,4,803,3041
122776,663554,"Casey Mize",27,2024,"DET",22,20,0,102.3,2,6,0,0,0,4.49,57,51,86,20,4,11,182,29,78,2,452,1789
122878,663687,"Hogan Harris",27,2024,"OAK",21,9,0,72.3,4,4,0,0,0,2.86,29,23,42,14,2,7,104,33,61,3,305,1213
123585,682120,"Tim Herrin",27,2024,"CLE",75,0,0,65.7,5,1,0,2,16,1.92,17,14,28,9,0,2,54,25,68,5,257,1011
123765,663546,"Sean Hjelle",27,2024,"SF",58,0,0,80.7,3,4,0,0,7,3.9,37,35,64,9,1,10,125,14,75,5,337,1209
124381,663623,"Jake Irvin",27,2024,"WSH",33,33,0,187.7,10,14,0,0,0,4.41,97,92,103,38,3,29,304,52,156,4,769,3046
