Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Khris Davis","OAK",153,652,43,91,110,4,0.11196319,0.299079754,0.280918728,0.289552238,0.247349823,0.33588957,0.528268551,0.3610332964385893,0.3876999677237818,129.64543244710373,-1.502226728014648,22.345679156981124,-13.923664093017578,2.9840358955269917,"Khris Davis",9112,501981
"Logan Morrison","TBR",149,601,38,75,85,2,0.134775374,0.247920133,0.26953125,0.268292682,0.24609375,0.352745424,0.515625,0.36269916832748594,0.36770887632627747,130.872352775613,0.4468734315596521,23.339154194795267,-13.440056562423706,2.963196682789592,"Logan Morrison",9205,489149
"Robinson Canó","SEA",150,648,23,79,97,1,0.075617283,0.131172839,0.172297297,0.293634496,0.280405405,0.337962962,0.452702702,0.33427456924691795,0.35525271137680003,111.7763454073779,-1.3313155290670693,8.08390300203672,-0.010946512222290039,2.9361307658995606,"Robinson Cano",3269,429664
"Carlos Santana","CLE",154,667,23,90,79,5,0.131934032,0.140929535,0.196147111,0.274122807,0.259194395,0.36281859,0.455341506,0.3501694788550465,0.35846538601675293,114.6710674216246,-0.39095333172008395,11.682525090868278,-4.3092522621154785,2.9290253353032045,"Carlos Santana",2396,467793
"Joe Mauer","MIN",141,597,7,69,71,2,0.110552763,0.139028475,0.112380953,0.349315068,0.304761904,0.383584589,0.417142857,0.34897212307862563,0.36856765876163283,117.06373490124705,-2.2501202458515763,10.318664541453328,-1.5689592361450195,2.8356371413072736,"Joe Mauer",1857,408045
"César Hernández","PHI",128,577,9,85,34,15,0.105719237,0.180242634,0.127201565,0.353383458,0.293542074,0.372616984,0.420743639,0.34582478118439514,0.3313477157700992,110.95236607419163,0.8464113478548825,8.968743682797731,-0.861961841583252,2.7798510552664637,"Cesar Hernandez",10556,514917
"Tim Beckham","- - -",137,575,22,67,62,6,0.062608695,0.290434782,0.176360226,0.365217391,0.277673545,0.327526132,0.454033771,0.33385409710714625,0.3273674714649823,109.01655881838113,-1.025359729770571,5.371304112250629,3.2892475724220276,2.754358948160289,"Tim Beckham",7949,542921
"Josh Harrison","PIT",128,542,16,66,47,12,0.051660516,0.16605166,0.160493827,0.302872062,0.271604938,0.338888888,0.432098765,0.33197717318747566,0.3118909128192679,103.85212256830773,3.2034245640970767,5.886892278198016,3.113910436630249,2.74914974483323,"Josh Harrison",8202,543281
"Adam Duvall","CIN",157,647,31,78,99,5,0.060278207,0.262751159,0.231686542,0.289672544,0.248722316,0.301391035,0.480408858,0.3265219186850746,0.3018426152404595,96.33820860969689,0.5956819984130561,-2.449371103642159,7.797872066497803,2.7446891778002622,"Adam Duvall",10950,594807
"Odúbel Herrera","PHI",138,563,14,67,56,8,0.055062166,0.223801065,0.171102661,0.345360824,0.281368821,0.325044404,0.452471482,0.32871316807854367,0.3079099793365036,99.71728640391163,0.3454882316291332,0.14091345747962736,8.077361345291138,2.74307552960239,"Odubel Herrera",11476,546318
