"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
105735,663757,"Trent Grisham",26,2023,"SD",151,555,469,67,13,50,15,13.5,27.7,0.154,0.198,0.315,0.352,0.667,93,,-3.2,1.5
106121,663647,"Ke'Bryan Hayes",26,2023,"PIT",122,525,494,65,15,61,10,5.3,19.8,0.182,0.271,0.309,0.453,0.762,92,,4,1.9
106527,663624,"Ryan Mountcastle",26,2023,"BAL",115,470,423,64,18,68,3,7.9,22.8,0.182,0.27,0.328,0.452,0.78,114,,0.4,1.9
106548,647304,"Josh Naylor",26,2023,"CLE",121,495,452,52,17,97,10,6.7,13.7,0.181,0.308,0.354,0.489,0.843,115,,0.2,2.2
106744,663586,"Austin Riley",26,2023,"ATL",159,715,636,117,37,97,3,8.3,24.1,0.234,0.281,0.345,0.516,0.861,120,,3.7,4.4
106960,663886,"Tyler Stephenson",26,2023,"CIN",136,517,465,59,13,56,0,9.1,26.1,0.135,0.243,0.317,0.378,0.695,78,,-9.7,-0.6
107047,663656,"Kyle Tucker",26,2023,"HOU",157,674,574,97,29,112,30,11.9,13.6,0.233,0.284,0.369,0.517,0.886,141,,-3,5
109147,670541,"Yordan Alvarez",26,2023,"HOU",114,496,410,77,31,97,0,13.9,18.5,0.29,0.293,0.407,0.583,0.99,167,,-1.2,5.3
110995,662139,"Daulton Varsho",26,2023,"TOR",154,581,527,65,20,61,16,7.7,23.2,0.169,0.22,0.285,0.389,0.674,93,,2.2,1.9
113905,664761,"Alec Bohm",26,2023,"PHI",145,611,558,74,20,97,4,6.9,15.4,0.163,0.274,0.327,0.437,0.764,102,,-2.8,2.2
123806,663538,"Nico Hoerner",26,2023,"CHC",150,688,619,98,9,68,43,7.1,12.1,0.1,0.283,0.346,0.383,0.729,98,,-2.7,2.5
124341,663697,"Jonathan India",26,2023,"CIN",119,529,454,78,17,61,14,9.8,20.6,0.163,0.244,0.338,0.407,0.745,112,,-1.2,2.1
131575,681546,"James Outman",26,2023,"LAD",150,567,483,86,23,70,16,12,31.9,0.188,0.248,0.353,0.437,0.79,95,,3.4,2.4
133509,663728,"Cal Raleigh",26,2023,"SEA",145,569,513,78,30,75,0,9.5,27.8,0.224,0.232,0.306,0.456,0.762,113,,16.1,5.1
140000,663837,"Matt Vierling",26,2023,"DET",133,530,479,63,10,44,6,8.3,21.1,0.127,0.261,0.329,0.388,0.717,100,,-0.7,1.4
102519,641355,"Cody Bellinger",27,2023,"CHC",130,556,499,95,26,97,20,7.2,15.6,0.218,0.307,0.356,0.525,0.881,106,,3,2.8
103203,642708,"Amed Rosario",27,2023,,141,545,510,70,6,58,15,5.3,18.2,0.116,0.263,0.305,0.378,0.683,88,,-2.7,1.3
103209,642715,"Willy Adames",27,2023,"MIL",149,638,553,73,24,80,5,11.1,25.9,0.19,0.217,0.31,0.407,0.717,102,,16.7,3.4
103225,642731,"Thairo Estrada",27,2023,"SF",119,530,495,63,14,49,23,4.2,22.6,0.145,0.271,0.315,0.416,0.731,89,,-1.2,1.5
104926,657041,"Lane Thomas",27,2023,"WSH",156,682,628,101,28,86,20,5.3,25.8,0.201,0.268,0.315,0.468,0.783,100,,-0.2,1.9
104938,657077,"Alex Verdugo",27,2023,"BOS",139,602,546,81,13,54,5,7.5,15.4,0.158,0.264,0.324,0.421,0.745,97,,3.2,2
105339,658668,"Edward Olivares",27,2023,"KC",107,385,354,47,12,36,11,5.7,16.6,0.189,0.263,0.317,0.452,0.769,107,,-1,1.3
107930,669720,"Austin Hays",27,2023,"BAL",142,566,520,76,16,67,5,6.7,24.9,0.169,0.275,0.325,0.444,0.769,100,,0.8,2
108119,663993,"Nathaniel Lowe",27,2023,"TEX",161,724,623,89,17,82,1,12.8,22.8,0.152,0.262,0.36,0.414,0.774,108,,0.9,2.5
109162,670770,"TJ Friedl",27,2023,"CIN",138,556,488,73,18,66,27,8.5,16.2,0.189,0.279,0.352,0.467,0.819,93,,0.7,1.9
109519,669394,"Jake Burger",27,2023,,141,540,492,71,34,80,1,5.9,27.6,0.268,0.25,0.309,0.518,0.827,111,,-0.5,2.6
110445,676116,"Ryan Noda",27,2023,"OAK",128,495,406,63,16,54,3,15.6,34.3,0.177,0.229,0.364,0.406,0.77,102,,0.1,1.5
111161,657136,"Connor Wong",27,2023,"BOS",118,403,371,55,9,36,8,5.5,33.3,0.151,0.235,0.288,0.385,0.673,69,,-7.3,-0.5
125523,673490,"Ha-Seong Kim",27,2023,"SD",149,626,538,84,17,60,38,12,19.8,0.138,0.26,0.351,0.398,0.749,101,,2.4,2.8
69600,606115,"Orlando Arcia",28,2023,"ATL",138,533,488,66,17,65,1,7.3,19.1,0.156,0.264,0.321,0.42,0.741,108,,-2.5,2.6
100502,621043,"Carlos Correa",28,2023,"MIN",133,580,514,60,18,65,0,10.2,22.6,0.169,0.23,0.312,0.399,0.711,94,,0,1.6
101514,623912,"Harold Ramírez",28,2023,"TB",122,434,400,58,12,68,5,5.1,18.2,0.148,0.313,0.353,0.46,0.813,107,,0.2,1.4
101568,623993,"Anthony Santander",28,2023,"BAL",153,656,591,81,28,95,5,8.4,23.2,0.215,0.257,0.325,0.472,0.797,110,,-4.6,2.1
101603,624413,"Pete Alonso",28,2023,"NYM",154,658,568,92,46,118,4,9.9,22.9,0.287,0.217,0.318,0.504,0.822,135,,-1.6,4.7
102559,641487,"J.P. Crawford",28,2023,"SEA",145,638,534,94,19,65,2,14.7,19.6,0.172,0.266,0.38,0.438,0.818,107,,-1,3.1
