Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"T.J. Rivera","NYM","3B",207,,,,0,,1,-4,,-3,,-0.21329200267791748,0.3228600025177002,-1.4831570088863373,-1.3735820055007935,-7.281252030668588,,-1,-1,-0.4809629550020051,"T.J. Rivera",12495,608061
"Tzu-Wei Lin","BOS","3B",57,,,,0,,0,-2,,-1,,0.12962999939918518,0.5548580288887024,-0.34483729489147663,0.3396510034799576,11.161755099892616,,-1,-1,-0.4890986751615736,"Tzu-Wei Lin",14678,624407
"Andrew Benintendi","BOS","CF",241,,,,,0,-1,-1,,-2,-0.16898499429225922,,-0.0074177999049425125,0.3603780120611191,0.18397600948810577,1.2186441561276502,,-1,0,-0.4941066404833415,"Andrew Benintendi",17901,643217
"Adam Rosales","OAK","LF",5,,,,,0,0,-1,,-1,0.007066320162266493,,-0.25116100907325745,0.007076750043779612,-0.23701768042519689,-35.55265206377953,,-1,0,-0.4991511159492611,"Adam Rosales",9682,489267
"Bryan Holaday","DET","C",63,-1,0,-1,,,-1,,,-3,,,,,,,-1.0399999618530273,,0,-0.49987651785302734,"Bryan Holaday",11287,592407
"Clint Frazier","NYY","RF",53,,,,,0,0,0,,0,-0.4844439923763275,,-0.3473150134086609,-0.1591969057917595,-0.9909549653530121,-27.663730457425117,,0,0,-0.5014156572709922,"Clint Frazier",15983,640449
"Andrés Blanco","PHI","2B",114,,,,0,,0,1,,1,,-0.0887565016746521,0.8509340286254883,-0.7268774136900902,0.03529949486255646,-0.09078755974769592,,-1,-1,-0.5022474176118671,"Andres Blanco",1907,433217
"Brandon Moss","KCR","1B",61.2,,,,0,,0,0,,0,,0.17230799794197083,0.16741099953651428,0.4255879130214453,0.7653069794178009,10.28428723414739,,0,0,-0.5022778337733482,"Brandon Moss",4467,461235
"Justin Ruggiano","SFG","CF",5,,,,,0,0,0,,0,,,-0.1302880048751831,0.016310460399836302,-0.11397799849510193,-17.09669977426529,,-1,0,-0.5037441428386589,"Justin Ruggiano",7620,448605
"Chris Taylor","LAD","2B",166.2,,,,0,,0,0,,0,,0.7160699963569641,0.9697740077972412,-2.4369171112775803,-0.7510799765586853,-6.627176263753106,,-1,0,-0.5061239670171482,"Chris Taylor",13757,621035
"Chris Gimenez","MIN","LF",15,,,,,0,0,0,,0,-0.012453200295567513,,0.3663899898529053,0.018003899604082108,0.3719407897442579,27.895559230819345,,-1,0,-0.5079682752787478,"Chris Gimenez",7324,460269
"Taylor Davis","CHC","1B",9,,,,0,,0,0,,0,,,-0.04599729925394058,0.04756985162384808,0.001572630018927157,0.23589450283907354,,-1,0,-0.5103144551123109,"Taylor Davis",12782,543089
"Sean Rodríguez","- - -","2B",71.2,,,,0,,1,-1,,0,,0.06967529654502869,0.2521370053291321,0.46288690716028214,0.7846992909908295,14.529890194535255,,-1,-1,-0.515729013428693,"Sean Rodriguez",6589,446481
"Taylor Featherston","TBR","3B",12,,,,0,,0,-1,,-1,,,-0.7371529936790466,0.09045252297073603,-0.6467000246047974,-97.0050036907196,,-1,-1,-0.5181027937481459,"Taylor Featherston",12590,605227
"Gift Ngoepe","PIT","3B",14.2,,,,0,,0,-1,,-1,,,-0.22651800513267517,0.061205821577459574,-0.1653130054473877,-24.796950817108154,,-1,-1,-0.5251919066836226,"Gift Ngoepe",10340,547912
"Michael Brantley","CLE","LF",731,,,,,2,2,2,,6,-0.6563180088996887,,-1.4032200574874878,-0.12830501794815063,-2.1878380179405212,-5.152620151862623,,1,2,-0.5289405087676609,"Michael Brantley",4106,488726
"Neil Walker","- - -","1B",86.1,,,,0,,-1,0,,-1,,-0.01647059991955757,0.25230929628014565,-0.023630592972040176,0.21220840141177177,3.665987866035864,,0,0,-0.531542820718256,"Neil Walker",7539,435522
"Brandon Drury","ARI","3B",7,,,,0,,0,-1,,-1,,,-0.1914370059967041,-0.5765865845605731,-0.7680249810218811,-38.401249051094055,,-1,-1,-0.5316444265965534,"Brandon Drury",11615,592273
"Breyvic Valera","STL","2B",18,,,,0,,0,-1,,-1,,,-0.5247189998626709,0.0873303385451436,-0.43738898634910583,-32.80417397618294,,-1,-1,-0.5348554716657287,"Breyvic Valera",12758,591971
"Tyler White","HOU","2B",10,,,,0,,0,0,,0,,,,,,,,-1,-1,-0.5408881553495134,"Tyler White",15564,643603
"Brandon Moss","KCR","LF",29,,,,,-2,0,0,,-2,-0.6183099746704102,,-0.010905900038778782,0.0010392889962531626,-0.6281765447929502,-8.431499654596502,,0,0,-0.5410283695700653,"Brandon Moss",4467,461235
"Matt Olson","OAK","1B",349.2,,,,0,,2,3,,5,,-0.103302001953125,0.11338900029659271,0.7738929912447929,0.7839789986610413,2.6644657722361242,,3,3,-0.5457914499736063,"Matt Olson",14344,621566
"Mark Trumbo","BAL","1B",15,,,,0,,0,-1,,-1,,-0.10769200325012207,0.24498599767684937,-0.6181747168302536,-0.4808819890022278,-15.789491186539331,,-1,-1,-0.5460617312186236,"Mark Trumbo",6876,444432
"Yuli Gurriel","HOU","3B",49,,,,0,,0,-1,,-1,,0.017404399812221527,0.47536900639533997,-0.3544163051992655,0.13835740089416504,4.001541457005909,,-1,-1,-0.5503215688511187,"Yuli Gurriel",19198,493329
"Jace Peterson","ATL","1B",55,,,,0,,0,-1,,-1,,-0.023333299905061722,-0.5480970144271851,0.13558333460241556,-0.4358462877571583,-15.858125376204649,,0,0,-0.5506332732732394,"Jace Peterson",12325,607054
"Jason Heyward","CHC","CF",89.1,,,,,0,0,0,,0,0.8471419811248779,,-0.6359270215034485,0.10037460178136826,0.31158900260925293,2.62605313098792,,-1,0,-0.5512623988855317,"Jason Heyward",4940,518792
"Chris Herrmann","ARI","C",317.2,-3,1,-2,,,2,,,-2,,,,,,,-3.700000047683716,,0,-0.5527056860623354,"Chris Herrmann",9284,543302
"Gerardo Parra","COL","1B",29.1,,,,0,,0,0,,0,,,-0.10157500207424164,0.17392260115593672,0.0723470002412796,2.170410007238388,,0,-1,-0.562443997557433,"Gerardo Parra",8553,467827
"Alex Presley","DET","LF",95,,,,,0,0,0,,0,-0.058495599776506424,,-0.35062500834465027,0.11007760092616081,-0.29904260113835335,-4.283154248618162,,0,0,-0.5649894711566964,"Alex Presley",5305,502100
"Derek Dietrich","MIA","1B",49,,,,0,,0,0,,0,,-0.03783779963850975,0.1751980036497116,0.15571472235023975,0.29307419434189796,9.296729825437069,,0,0,-0.56620589425352,"Derek Dietrich",10542,518618
"Kennys Vargas","MIN","1B",270.1,,,,0,,-1,5,,4,,-0.386231005191803,0.7291929721832275,1.2078070491552353,1.550769031047821,5.621003325921566,,2,1,-0.5674228177428209,"Kennys Vargas",12101,573627
