Name,Team,Pos,G,GS,Inn,Throwing,Blocking,Framing,Arm,Range,FRV,NameASCII,PlayerId,MLBAMID
"John Ryan Murphy","ARI","C",5,1,16,0,0,0,,,0,"John Ryan Murphy",10346,571974
"Mike Ohlman","TOR","C",6,3,34.2,0,0,0,,,0,"Mike Ohlman",10347,572000
"Enrique Hernández","LAD","1B",3,2,20,,,,0,0,0,"Enrique Hernandez",10472,571771
"Enrique Hernández","LAD","2B",9,2,30,,,,0,0,0,"Enrique Hernandez",10472,571771
"Enrique Hernández","LAD","CF",34,16,163.2,,,,1,-1,0,"Enrique Hernandez",10472,571771
"Enrique Hernández","LAD","LF",28,12,122.2,,,,0,0,0,"Enrique Hernandez",10472,571771
"Enrique Hernández","LAD","RF",18,15,119,,,,0,0,0,"Enrique Hernandez",10472,571771
"Enrique Hernández","LAD","SS",24,16,150,,,,0,1,0,"Enrique Hernandez",10472,571771
"Cheslor Cuthbert","KCR","1B",6,2,26,,,,0,0,0,"Cheslor Cuthbert",10473,596144
"Cheslor Cuthbert","KCR","2B",3,1,12.2,,,,0,0,0,"Cheslor Cuthbert",10473,596144
"Derek Dietrich","MIA","1B",10,4,49,,,,0,0,0,"Derek Dietrich",10542,518618
"Derek Dietrich","MIA","2B",10,6,63,,,,0,0,0,"Derek Dietrich",10542,518618
"Derek Dietrich","MIA","LF",5,2,19.1,,,,0,0,0,"Derek Dietrich",10542,518618
"César Hernández","PHI","SS",1,0,4,,,,0,0,0,"Cesar Hernandez",10556,514917
"David Freitas","ATL","C",6,5,42,0,0,0,,,0,"David Freitas",10619,571679
"Rob Brantly","CHW","C",6,5,42,0,0,0,,,0,"Rob Brantly",10655,542963
"Gio Urshela","CLE","1B",2,0,2,,,,0,0,0,"Gio Urshela",10681,570482
"Gio Urshela","CLE","3B",60,36,378.1,,,,0,-1,0,"Gio Urshela",10681,570482
"Gio Urshela","CLE","SS",5,1,20,,,,0,0,0,"Gio Urshela",10681,570482
"Ryan LaMarre","OAK","CF",3,2,18,,,,0,0,0,"Ryan LaMarre",10700,534606
"Arismendy Alcántara","CIN","3B",4,0,9.1,,,,0,0,0,"Arismendy Alcantara",10711,570489
"Arismendy Alcántara","CIN","RF",7,1,22.2,,,,0,0,0,"Arismendy Alcantara",10711,570489
"Lane Adams","ATL","CF",11,6,62.2,,,,1,0,0,"Lane Adams",10767,572669
"Tyler Saladino","CHW","1B",3,0,4,,,,0,0,0,"Tyler Saladino",10807,573135
"Tyler Saladino","CHW","SS",13,12,107.2,,,,0,0,0,"Tyler Saladino",10807,573135
"Jurickson Profar","TEX","1B",2,0,4,,,,0,0,0,"Jurickson Profar",10815,595777
"Jurickson Profar","TEX","2B",1,0,2,,,,0,0,0,"Jurickson Profar",10815,595777
"Jedd Gyorko","STL","LF",1,0,2,,,,0,0,0,"Jedd Gyorko",10816,576397
"Adam Duvall","CIN","1B",3,0,7,,,,0,0,0,"Adam Duvall",10950,594807
"Phil Gosselin","- - -","3B",3,0,6.2,,,,0,0,0,"Phil Gosselin",10953,594838
"Phil Gosselin","TEX","SS",3,0,7,,,,0,0,0,"Phil Gosselin",10953,594838
"Josh Rutledge","BOS","1B",5,1,13.2,,,,0,0,0,"Josh Rutledge",11167,592710
"Kole Calhoun","LAA","RF",154,153,1338.1,,,,5,-5,0,"Kole Calhoun",11200,594777
"Stephen Cardullo","COL","LF",6,5,41.1,,,,0,0,0,"Stephen Cardullo",11204,506924
"Stephen Cardullo","COL","RF",2,1,14,,,,0,0,0,"Stephen Cardullo",11204,506924
"Adam Eaton","WSN","LF",5,2,24,,,,0,0,0,"Adam Eaton",11205,594809
"Adam Eaton","WSN","RF",2,1,9,,,,0,0,0,"Adam Eaton",11205,594809
"Mike Freeman","- - -","3B",3,2,20,,,,0,0,0,"Mike Freeman",11241,502273
"Aaron Altherr","PHI","CF",19,12,101.1,,,,1,-1,0,"Aaron Altherr",11270,571437
"Whit Merrifield","KCR","1B",1,0,2,,,,0,0,0,"Whit Merrifield",11281,593160
"Whit Merrifield","KCR","3B",1,0,1,,,,0,0,0,"Whit Merrifield",11281,593160
"Bryan Holaday","DET","C",11,7,63,0,0,0,,,0,"Bryan Holaday",11287,592407
"Jake Marisnick","HOU","RF",3,0,7,,,,0,0,0,"Jake Marisnick",11339,545350
"Brett Eibner","LAD","CF",5,4,30,,,,0,0,0,"Brett Eibner",11369,518649
"Brett Eibner","LAD","RF",3,2,15,,,,0,0,0,"Brett Eibner",11369,518649
"Delino DeShields","TEX","LF",60,57,478,,,,0,0,0,"Delino DeShields",11379,592261
"Matthew den Dekker","DET","RF",2,0,5,,,,0,0,0,"Matthew den Dekker",11385,544925
"Ronald Torreyes","NYY","RF",1,0,1,,,,0,0,0,"Ronald Torreyes",11400,591720
"Gary Sánchez","NYY","1B",2,0,3,,,,0,0,0,"Gary Sanchez",11442,596142
"Mark Canha","OAK","1B",3,0,7,,,,0,0,0,"Mark Canha",11445,592192
"Rob Segedin","LAD","1B",6,3,30,,,,0,0,0,"Rob Segedin",11446,574847
"Rob Segedin","LAD","3B",5,1,15,,,,0,0,0,"Rob Segedin",11446,574847
"Tony Wolters","COL","2B",4,0,8,,,,0,0,0,"Tony Wolters",11470,547172
"Dixon Machado","DET","3B",5,4,33,,,,0,1,0,"Dixon Machado",11472,553988
"Yolmer Sánchez","CHW","RF",1,0,2,,,,0,0,0,"Yolmer Sanchez",11602,570560
"Yolmer Sánchez","CHW","SS",4,3,31,,,,0,0,0,"Yolmer Sanchez",11602,570560
"Willson Contreras","CHC","1B",5,1,20,,,,0,0,0,"Willson Contreras",11609,575929
"Willson Contreras","CHC","3B",1,0,2,,,,0,0,0,"Willson Contreras",11609,575929
"Willson Contreras","CHC","LF",4,3,26,,,,0,0,0,"Willson Contreras",11609,575929
"Jarrett Parker","SFG","RF",5,2,23,,,,0,0,0,"Jarrett Parker",11624,592620
"Christian Villanueva","SDP","3B",9,7,62,,,,0,0,0,"Christian Villanueva",11738,570799
"J.T. Realmuto","MIA","1B",9,8,72.1,,,,0,0,0,"J.T. Realmuto",11739,592663
"Drew Robinson","TEX","2B",7,3,36,,,,0,0,0,"Drew Robinson",11761,592685
"Drew Robinson","TEX","LF",15,8,82.1,,,,-1,0,0,"Drew Robinson",11761,592685
"Drew Robinson","TEX","SS",6,0,9,,,,0,0,0,"Drew Robinson",11761,592685
"Leonys Martin","CHC","LF",4,0,6.2,,,,0,0,0,"Leonys Martin",11846,547982
"Tyler Austin","NYY","1B",8,5,45,,,,0,0,0,"Tyler Austin",11850,592122
"Tyler Austin","NYY","RF",7,1,21,,,,0,0,0,"Tyler Austin",11850,592122
"Joc Pederson","LAD","LF",4,2,21,,,,0,0,0,"Joc Pederson",11899,592626
"Orlando Calixte","SFG","CF",2,1,9,,,,0,-1,0,"Orlando Calixte",11905,593525
"Orlando Calixte","SFG","LF",9,7,59.1,,,,0,0,0,"Orlando Calixte",11905,593525
"Orlando Calixte","SFG","RF",3,1,10.1,,,,0,0,0,"Orlando Calixte",11905,593525
"Orlando Calixte","SFG","SS",4,0,9,,,,0,0,0,"Orlando Calixte",11905,593525
"Travis Shaw","MIL","1B",1,0,4.2,,,,0,0,0,"Travis Shaw",11982,543768
"Cody Asche","CHW","1B",2,2,17,,,,0,0,0,"Cody Asche",11997,605125
"Cody Asche","CHW","LF",1,0,3,,,,0,0,0,"Cody Asche",11997,605125
"Niko Goodrum","MIN","2B",8,1,24,,,,0,0,0,"Niko Goodrum",12092,592348
"Niko Goodrum","MIN","RF",1,1,6,,,,0,0,0,"Niko Goodrum",12092,592348
"Xander Bogaerts","BOS","SS",146,142,1310.1,,,,0,1,0,"Xander Bogaerts",12161,593428
"Jorge Bonifacio","KCR","CF",1,1,8,,,,0,0,0,"Jorge Bonifacio",12174,593528
"Maikel Franco","PHI","1B",2,2,17,,,,0,0,0,"Maikel Franco",12179,596748
"Jorge Alfaro","PHI","1B",2,1,9.1,,,,0,0,0,"Jorge Alfaro",12180,595751
"Jorge Alfaro","PHI","C",28,28,243.1,0,0,0,,,0,"Jorge Alfaro",12180,595751
"Scott Schebler","CIN","RF",120,115,986.2,,,,-1,1,0,"Scott Schebler",12225,594988
"Brock Stassi","PHI","LF",3,2,14,,,,0,0,0,"Brock Stassi",12244,595426
"Cory Spangenberg","SDP","2B",7,4,42,,,,0,0,0,"Cory Spangenberg",12294,605486
"Jace Peterson","ATL","1B",7,5,55,,,,0,0,0,"Jace Peterson",12325,607054
"Jace Peterson","ATL","2B",15,10,106,,,,0,0,0,"Jace Peterson",12325,607054
"Jace Peterson","ATL","3B",15,6,66.2,,,,0,0,0,"Jace Peterson",12325,607054
"Taylor Motter","SEA","1B",15,8,77,,,,0,0,0,"Taylor Motter",12399,600301
"Taylor Motter","SEA","3B",6,4,40,,,,0,0,0,"Taylor Motter",12399,600301
"Ryan Rua","TEX","1B",23,19,173,,,,0,0,0,"Ryan Rua",12409,607387
"Tyler Smith","SEA","2B",3,0,5,,,,0,0,0,"Tyler Smith",12490,642094
"T.J. Rivera","NYM","LF",3,1,9.1,,,,0,0,0,"T.J. Rivera",12495,608061
"Jett Bandy","MIL","C",50,44,399,0,0,0,,,0,"Jett Bandy",12508,542908
"Curt Casali","TBR","C",8,2,28,0,0,0,,,0,"Curt Casali",12510,592200
"John Hicks","DET","1B",26,19,181,,,,0,-1,0,"John Hicks",12547,543308
"John Hicks","DET","C",18,12,115.1,0,0,0,,,0,"John Hicks",12547,543308
"Eugenio Suárez","CIN","SS",1,0,3.1,,,,0,0,0,"Eugenio Suarez",12552,553993
"Taylor Featherston","TBR","1B",2,0,6,,,,0,0,0,"Taylor Featherston",12590,605227
"Taylor Featherston","TBR","2B",11,8,78,,,,0,0,0,"Taylor Featherston",12590,605227
"Taylor Featherston","TBR","SS",3,1,10,,,,0,0,0,"Taylor Featherston",12590,605227
"Mike Marjama","SEA","C",5,2,20,0,0,0,,,0,"Mike Marjama",12594,605357
"O'Koyea Dickson","LAD","LF",5,1,12,,,,0,0,0,"O'Koyea Dickson",12677,607297
"Billy Burns","KCR","CF",4,0,9,,,,0,0,0,"Billy Burns",12701,542993
"Tyler Collins","DET","LF",4,1,17.2,,,,0,0,0,"Tyler Collins",12723,607385
"Taylor Davis","CHC","1B",2,0,9,,,,0,0,0,"Taylor Davis",12782,543089
"Taylor Davis","CHC","3B",2,1,14,,,,0,0,0,"Taylor Davis",12782,543089
"Taylor Davis","CHC","C",1,1,3,0,0,0,,,0,"Taylor Davis",12782,543089
"George Springer","HOU","CF",84,79,643.2,,,,0,0,0,"George Springer",12856,543807
"Alen Hanson","- - -","3B",2,0,4,,,,0,0,0,"Alen Hanson",12926,593700
"Alen Hanson","CHW","LF",8,5,53,,,,0,0,0,"Alen Hanson",12926,593700
"Alen Hanson","PIT","SS",2,0,8,,,,0,0,0,"Alen Hanson",12926,593700
"Brandon Nimmo","NYM","CF",12,8,75.1,,,,0,1,0,"Brandon Nimmo",12927,607043
"Brandon Nimmo","NYM","RF",8,6,57,,,,0,0,0,"Brandon Nimmo",12927,607043
"Phillip Evans","NYM","3B",6,4,39,,,,0,0,0,"Phillip Evans",12950,595943
"Willy García","CHW","CF",11,9,84.2,,,,0,0,0,"Willy Garcia",12956,591994
"Steve Selsky","BOS","3B",2,0,3.2,,,,0,0,0,"Steve Selsky",12957,592731
"Steve Selsky","BOS","CF",1,1,7,,,,0,0,0,"Steve Selsky",12957,592731
"Javier Báez","CHC","3B",8,4,43,,,,0,0,0,"Javier Baez",12979,595879
"Javier Báez","CHC","RF",1,0,2,,,,0,0,0,"Javier Baez",12979,595879
"Kelby Tomlinson","SFG","2B",20,17,148.2,,,,0,0,0,"Kelby Tomlinson",13005,605509
"Kelby Tomlinson","SFG","LF",9,2,33,,,,0,0,0,"Kelby Tomlinson",13005,605509
"Kelby Tomlinson","SFG","SS",11,8,69.1,,,,0,0,0,"Kelby Tomlinson",13005,605509
"Norichika Aoki","- - -","CF",2,1,10,,,,0,0,0,"Norichika Aoki",13075,493114
"Andrew Susac","MIL","C",2,2,13,0,0,0,,,0,"Andrew Susac",13132,572180
"Luis Sardinas","SDP","2B",7,1,23,,,,0,0,0,"Luis Sardinas",13153,596143
"Luis Sardinas","SDP","3B",4,2,21,,,,0,0,0,"Luis Sardinas",13153,596143
"Luis Sardinas","SDP","SS",5,3,31.2,,,,0,-1,0,"Luis Sardinas",13153,596143
"Marco Hernández","BOS","2B",6,4,39,,,,0,1,0,"Marco Hernandez",13154,593523
"Marco Hernández","BOS","SS",5,5,40,,,,0,0,0,"Marco Hernandez",13154,593523
"Nicky Delmonico","CHW","1B",4,3,28,,,,0,0,0,"Nicky Delmonico",13157,547170
"Blake Swihart","BOS","C",4,0,12,0,0,0,,,0,"Blake Swihart",13176,596119
"Nolan Fontana","LAA","2B",9,5,49,,,,0,0,0,"Nolan Fontana",13267,545337
"Zach Vincej","CIN","2B",1,0,3,,,,0,0,0,"Zach Vincej",13269,572227
"Zach Vincej","CIN","SS",3,1,15,,,,0,0,0,"Zach Vincej",13269,572227
"Ildemaro Vargas","ARI","3B",2,0,9,,,,0,0,0,"Ildemaro Vargas",13324,545121
"Deven Marrero","BOS","SS",6,4,44,,,,0,0,0,"Deven Marrero",13325,571918
"Omar Narváez","CHW","C",83,75,648.1,0,0,0,,,0,"Omar Narvaez",13338,553882
"Tyler Naquin","CLE","RF",8,2,30,,,,0,0,0,"Tyler Naquin",13359,571980
"Erik González","CLE","LF",1,1,7,,,,0,0,0,"Erik Gonzalez",13369,570481
"Andrew Toles","LAD","LF",21,13,126,,,,-1,0,0,"Andrew Toles",13414,592808
"Christian Walker","ARI","1B",1,1,9,,,,0,0,0,"Christian Walker",13419,572233
"Cameron Perkins","PHI","CF",4,1,15,,,,0,0,0,"Cameron Perkins",13444,573088
"Dwight Smith Jr.","TOR","CF",1,1,5,,,,0,0,0,"Dwight Smith Jr.",13473,596105
"Tom Murphy","COL","C",8,6,54,0,0,0,,,0,"Tom Murphy",13499,608596
"Jesse Winker","CIN","LF",2,2,17,,,,0,0,0,"Jesse Winker",13590,608385
"Jesse Winker","CIN","RF",25,24,202.1,,,,0,0,0,"Jesse Winker",13590,608385
"Mallex Smith","TBR","LF",24,14,141,,,,0,1,0,"Mallex Smith",13608,605480
"Mallex Smith","TBR","RF",9,7,62,,,,0,0,0,"Mallex Smith",13608,605480
"Ketel Marte","ARI","3B",3,2,11.1,,,,0,0,0,"Ketel Marte",13613,606466
"Jeimer Candelario","CHC","1B",1,1,8,,,,0,0,0,"Jeimer Candelario",13621,600869
"Terrance Gore","KCR","LF",2,0,4,,,,0,0,0,"Terrance Gore",13658,605253
"Christopher Bostick","PIT","LF",3,1,13,,,,0,0,0,"Christopher Bostick",13718,607471
"Tomás Nido","NYM","C",3,2,19,0,0,0,,,0,"Tomas Nido",13755,621512
"Chris Taylor","LAD","2B",22,19,166.2,,,,0,-1,0,"Chris Taylor",13757,621035
"Chris Taylor","LAD","3B",8,3,38.1,,,,0,0,0,"Chris Taylor",13757,621035
"Chris Taylor","LAD","SS",14,10,96.1,,,,0,0,0,"Chris Taylor",13757,621035
"Travis Jankowski","SDP","CF",4,3,23,,,,0,0,0,"Travis Jankowski",13768,608671
"Travis Jankowski","SDP","LF",19,17,144,,,,-1,1,0,"Travis Jankowski",13768,608671
"Travis Jankowski","SDP","RF",3,2,17.1,,,,0,0,0,"Travis Jankowski",13768,608671
"Adalberto Mondesi","KCR","SS",9,0,25.1,,,,0,1,0,"Adalberto Mondesi",13769,609275
"Rob Refsnyder","- - -","1B",6,4,31,,,,0,0,0,"Rob Refsnyder",13770,608701
"Rob Refsnyder","- - -","LF",10,2,29.2,,,,0,0,0,"Rob Refsnyder",13770,608701
"Rob Refsnyder","- - -","RF",4,2,24.1,,,,0,0,0,"Rob Refsnyder",13770,608701
"Matt Reynolds","NYM","1B",3,1,9,,,,0,0,0,"Matt Reynolds",13788,608703
"Matt Reynolds","NYM","LF",7,4,35.1,,,,0,0,0,"Matt Reynolds",13788,608703
"Matt Reynolds","NYM","RF",1,1,6,,,,0,0,0,"Matt Reynolds",13788,608703
"Matt Reynolds","NYM","SS",10,4,43,,,,0,0,0,"Matt Reynolds",13788,608703
"Kevin Plawecki","NYM","1B",2,2,17,,,,0,0,0,"Kevin Plawecki",13807,608700
"Ian Parmley","TOR","RF",1,1,8.2,,,,0,0,0,"Ian Parmley",13821,622210
"Joey Wendle","OAK","2B",5,3,26,,,,0,0,0,"Joey Wendle",13853,621563
"Alex D. Mejia","STL","SS",7,3,35,,,,0,0,0,"Alex D. Mejia",13877,622270
"Patrick Kivlehan","CIN","1B",12,0,30.1,,,,0,0,0,"Patrick Kivlehan",13910,623182
"Patrick Kivlehan","CIN","LF",11,6,58.2,,,,-1,0,0,"Patrick Kivlehan",13910,623182
"Albert Almora Jr.","CHC","CF",104,65,643,,,,2,-1,0,"Albert Almora Jr.",14109,546991
"Albert Almora Jr.","CHC","RF",1,0,1,,,,0,0,0,"Albert Almora Jr.",14109,546991
"Ramón Torres","KCR","SS",3,0,8,,,,0,0,0,"Ramon Torres",14113,593527
"Daniel Robertson","TBR","LF",1,0,1,,,,0,0,0,"Daniel Robertson",14145,621002
"Mac Williamson","SFG","LF",9,8,68.2,,,,1,-1,0,"Mac Williamson",14158,607776
"Mitch Haniger","SEA","CF",6,3,28,,,,1,-1,0,"Mitch Haniger",14274,571745
"Wilmer Difo","WSN","LF",2,1,7,,,,0,0,0,"Wilmer Difo",14320,594694
"Wilmer Difo","WSN","RF",3,2,17,,,,0,0,0,"Wilmer Difo",14320,594694
"Anthony Alford","TOR","LF",3,2,17,,,,0,0,0,"Anthony Alford",14329,546990
"Anthony Alford","TOR","RF",2,0,3,,,,0,0,0,"Anthony Alford",14329,546990
"Nick Williams","PHI","LF",12,10,89,,,,1,-1,0,"Nick Williams",14330,608384
"Raimel Tapia","COL","CF",6,1,20,,,,0,0,0,"Raimel Tapia",14350,606132
"Raimel Tapia","COL","RF",22,16,157.1,,,,-1,0,0,"Raimel Tapia",14350,606132
"Lewis Brinson","MIL","LF",8,5,50.2,,,,0,0,0,"Lewis Brinson",14352,621446
"Hyun Jin Ryu","LAD","P",25,24,126.2,,,,0,,0,"Hyun Jin Ryu",14444,547943
"Renato Núñez","OAK","3B",1,0,2,,,,0,0,0,"Renato Nunez",14503,600524
"Renato Núñez","OAK","LF",3,1,9,,,,0,0,0,"Renato Nunez",14503,600524
"Pedro Severino","WSN","C",10,5,56,0,0,0,,,0,"Pedro Severino",14523,600474
"Anthony Santander","BAL","LF",4,0,6,,,,0,0,0,"Anthony Santander",14551,623993
"Anthony Santander","BAL","RF",8,6,53,,,,0,0,0,"Anthony Santander",14551,623993
"Max Moroff","PIT","SS",16,10,108,,,,0,0,0,"Max Moroff",14556,621559
"Franchy Cordero","SDP","LF",1,1,3.2,,,,0,0,0,"Franchy Cordero",14567,614173
"Brett Phillips","MIL","LF",4,0,6,,,,0,0,0,"Brett Phillips",14735,621433
"Brett Phillips","MIL","RF",9,2,30,,,,0,0,0,"Brett Phillips",14735,621433
"Phillip Ervin","CIN","LF",5,1,17,,,,0,0,0,"Phillip Ervin",14738,640447
"Kyle Farmer","LAD","1B",1,1,8,,,,0,0,0,"Kyle Farmer",14813,571657
"Kyle Farmer","LAD","3B",4,0,7,,,,0,0,0,"Kyle Farmer",14813,571657
"Kyle Farmer","LAD","C",3,0,7,0,0,0,,,0,"Kyle Farmer",14813,571657
"JaCoby Jones","DET","CF",51,42,362.2,,,,-1,1,0,"JaCoby Jones",14818,592444
"Jacob May","CHW","CF",10,9,80,,,,0,0,0,"Jacob May",14876,594576
"Jacob May","CHW","LF",3,1,12,,,,0,0,0,"Jacob May",14876,594576
"Jacob May","CHW","RF",2,1,12,,,,0,0,0,"Jacob May",14876,594576
"Pat Valaika","COL","1B",5,1,11,,,,0,0,0,"Pat Valaika",14885,642162
"Pat Valaika","COL","3B",19,5,83.1,,,,0,0,0,"Pat Valaika",14885,642162
"Tony Kemp","HOU","CF",4,2,22,,,,0,0,0,"Tony Kemp",14894,643393
"Tony Kemp","HOU","LF",10,8,68,,,,0,0,0,"Tony Kemp",14894,643393
"Jaycob Brugman","OAK","RF",1,0,6,,,,0,0,0,"Jaycob Brugman",14936,595144
"Jack Reinheimer","ARI","SS",1,1,9,,,,0,0,0,"Jack Reinheimer",14938,595373
"Johan Camargo","ATL","LF",1,0,1,,,,0,0,0,"Johan Camargo",14950,622666
"Johan Camargo","ATL","SS",27,23,205.1,,,,0,1,0,"Johan Camargo",14950,622666
"Victor Caratini","CHC","1B",8,3,41,,,,0,0,0,"Victor Caratini",14968,605170
"Victor Caratini","CHC","C",12,7,75.2,0,0,0,,,0,"Victor Caratini",14968,605170
"Boog Powell","OAK","CF",28,22,197.1,,,,1,-1,0,"Boog Powell",15103,621471
"Boog Powell","SEA","LF",8,4,44,,,,0,0,0,"Boog Powell",15103,621471
"Ryan McMahon","COL","1B",7,3,32.2,,,,0,0,0,"Ryan McMahon",15112,641857
"Ryan McMahon","COL","2B",4,0,5,,,,0,0,0,"Ryan McMahon",15112,641857
"Ryan McMahon","COL","3B",3,0,4.1,,,,0,0,0,"Ryan McMahon",15112,641857
"Tim Locastro","LAD","LF",2,0,3,,,,0,0,0,"Tim Locastro",15124,641796
"Trey Mancini","BAL","RF",2,2,13,,,,0,0,0,"Trey Mancini",15149,641820
"Mitch Garver","MIN","1B",3,3,24,,,,0,0,0,"Mitch Garver",15161,641598
"Mitch Garver","MIN","C",13,4,50.2,0,0,0,,,0,"Mitch Garver",15161,641598
"Mitch Garver","MIN","LF",2,1,6,,,,0,0,0,"Mitch Garver",15161,641598
"Chad Pinder","OAK","LF",2,2,15,,,,0,0,0,"Chad Pinder",15191,640461
"Chad Pinder","OAK","SS",22,18,156,,,,0,0,0,"Chad Pinder",15191,640461
"Adam Frazier","PIT","3B",1,1,8,,,,0,0,0,"Adam Frazier",15223,624428
"Adam Frazier","PIT","CF",4,1,16,,,,0,0,0,"Adam Frazier",15223,624428
"Mike Tauchman","COL","CF",3,0,8,,,,0,0,0,"Mike Tauchman",15274,643565
"Mike Tauchman","COL","RF",3,1,10.2,,,,0,0,0,"Mike Tauchman",15274,643565
"Garrett Cooper","NYY","1B",13,13,103,,,,0,0,0,"Garrett Cooper",15279,643265
"Zack Granite","MIN","LF",8,4,34,,,,0,1,0,"Zack Granite",15343,643335
"Zack Granite","MIN","RF",2,0,5,,,,0,0,0,"Zack Granite",15343,643335
"Kris Bryant","CHC","1B",2,1,10,,,,0,0,0,"Kris Bryant",15429,592178
"Kris Bryant","CHC","CF",2,0,6,,,,0,0,0,"Kris Bryant",15429,592178
"Kris Bryant","CHC","LF",2,2,15,,,,0,0,0,"Kris Bryant",15429,592178
"Tyler White","HOU","1B",19,12,121,,,,0,0,0,"Tyler White",15564,643603
"Tyler White","HOU","LF",2,1,11,,,,0,0,0,"Tyler White",15564,643603
"Jacob Hannemann","SEA","CF",7,4,41.1,,,,-1,1,0,"Jacob Hannemann",15644,595238
"Jacob Hannemann","SEA","LF",2,0,3,,,,0,0,0,"Jacob Hannemann",15644,595238
"Chance Sisco","BAL","C",10,4,40,0,0,0,,,0,"Chance Sisco",15694,642082
"Allen Córdoba","SDP","CF",7,2,25,,,,0,0,0,"Allen Cordoba",15722,642707
"Allen Córdoba","SDP","RF",3,1,13,,,,0,0,0,"Allen Cordoba",15722,642707
"Tyler Wade","NYY","RF",2,1,10,,,,0,0,0,"Tyler Wade",15730,642180
"Raudy Read","WSN","C",3,1,11,0,0,0,,,0,"Raudy Read",15766,600466
"Rafael Bautista","WSN","CF",1,0,1,,,,0,0,0,"Rafael Bautista",15769,622441
"Rafael Bautista","WSN","RF",11,4,51,,,,0,0,0,"Rafael Bautista",15769,622441
"Miguel Andujar","NYY","3B",3,0,9,,,,0,0,0,"Miguel Andujar",15878,609280
"Aledmys Díaz","STL","2B",1,0,2,,,,0,0,0,"Aledmys Diaz",15937,649557
"Aledmys Díaz","STL","3B",4,3,23,,,,0,0,0,"Aledmys Diaz",15937,649557
"Aledmys Díaz","STL","LF",3,0,9,,,,0,0,0,"Aledmys Diaz",15937,649557
"Ryder Jones","SFG","LF",1,1,8,,,,0,0,0,"Ryder Jones",15982,624507
"Clint Frazier","NYY","RF",7,6,53,,,,0,0,0,"Clint Frazier",15983,640449
"Austin Slater","SFG","3B",1,0,2.1,,,,0,0,0,"Austin Slater",16153,596103
"Austin Slater","SFG","CF",1,0,3.1,,,,0,0,0,"Austin Slater",16153,596103
"Austin Slater","SFG","LF",30,29,243.2,,,,-1,0,0,"Austin Slater",16153,596103
"Austin Slater","SFG","RF",3,3,26,,,,0,0,0,"Austin Slater",16153,596103
"Derek Fisher","HOU","LF",38,30,267,,,,-1,0,0,"Derek Fisher",16192,605233
"AJ Reed","HOU","1B",1,0,3,,,,0,0,0,"AJ Reed",16246,607223
"Ricardo Pinto","PHI","P",25,0,29.2,,,,0,,0,"Ricardo Pinto",16318,620982
"Michael Conforto","NYM","RF",11,8,74.1,,,,0,0,0,"Michael Conforto",16376,624424
"Francisco Mejía","CLE","C",3,0,4,0,0,0,,,0,"Francisco Mejia",16403,642336
"Richard Urena","TOR","2B",1,1,11.2,,,,0,0,0,"Richard Urena",16411,620446
"Jordan Luplow","PIT","LF",10,7,68,,,,0,0,0,"Jordan Luplow",16424,656669
"Christian Arroyo","SFG","2B",2,2,18,,,,0,0,0,"Christian Arroyo",16434,624414
"Christian Arroyo","SFG","SS",10,9,82.2,,,,0,-1,0,"Christian Arroyo",16434,624414
"Kyle Schwarber","CHC","C",4,0,7,0,0,0,,,0,"Kyle Schwarber",16478,656941
"Mark Zagunis","CHC","RF",4,4,32,,,,0,0,0,"Mark Zagunis",16565,657145
"Yandy Díaz","CLE","3B",40,37,282,,,,0,0,0,"Yandy Diaz",16578,650490
"Greg Allen","CLE","LF",5,0,14,,,,0,0,0,"Greg Allen",16623,656185
"Colin Moran","HOU","3B",3,2,17,,,,0,0,0,"Colin Moran",16909,592567
"Colin Moran","HOU","SS",1,0,4,,,,0,0,0,"Colin Moran",16909,592567
"Magneuris Sierra","STL","CF",7,5,55,,,,0,0,0,"Magneuris Sierra",17023,642423
"Magneuris Sierra","STL","RF",8,7,63.1,,,,0,0,0,"Magneuris Sierra",17023,642423
"Alex Verdugo","LAD","CF",6,4,33,,,,0,0,0,"Alex Verdugo",17027,657077
"Alex Verdugo","LAD","LF",3,0,7,,,,0,0,0,"Alex Verdugo",17027,657077
"Alex Verdugo","LAD","RF",3,0,4,,,,0,0,0,"Alex Verdugo",17027,657077
"Chad Wallach","CIN","C",3,2,21,0,0,0,,,0,"Chad Wallach",17161,595453
"Alex Bregman","HOU","2B",4,0,9,,,,0,0,0,"Alex Bregman",17678,608324
"Andrew Benintendi","BOS","CF",30,27,241,,,,0,-1,0,"Andrew Benintendi",17901,643217
"Ian Happ","CHC","3B",4,1,17,,,,0,0,0,"Ian Happ",17919,664023
"Andrew Stevenson","WSN","CF",5,2,30,,,,0,0,0,"Andrew Stevenson",17932,664057
"Andrew Stevenson","WSN","LF",9,1,24,,,,0,0,0,"Andrew Stevenson",17932,664057
"Harrison Bader","STL","LF",7,2,29,,,,0,0,0,"Harrison Bader",18030,664056
"Victor Robles","WSN","CF",3,2,19,,,,0,0,0,"Victor Robles",18363,645302
"Victor Robles","WSN","RF",6,3,32,,,,0,0,0,"Victor Robles",18363,645302
"Hyun Soo Kim","- - -","LF",55,43,356.2,,,,1,-1,0,"Hyun Soo Kim",18718,547957
"Yuli Gurriel","HOU","1B",131,130,1109.1,,,,0,-1,0,"Yuli Gurriel",19198,493329
