Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Mason Albright","COL","AAA",22,3,7,7.8046879651956536,21,19,0,0,0,1,,85.1,405,120,79,74,28,35,0,2,1,1,65,"sa3017847"
"Will Dion","CLE","AAA",25,4,8,4.090909090909091,31,13,0,0,1,1,,99,434,109,53,45,9,37,0,0,3,2,96,"sa3017850"
"Andrew Painter","PHI","AAA",22,5,6,5.40000051498418,22,22,0,0,0,0,,106.2,475,119,67,64,18,46,0,0,0,2,111,"sa3017880"
"Chase Plymell","CHW","AAA",27,1,1,3.4394907801430845,31,2,0,0,2,4,,52.1,224,52,28,20,4,19,0,3,2,1,33,"sa3017985"
"Zach Messinger","NYY","AAA",25,4,3,5.265000803375367,28,7,0,0,3,0,,66.2,308,70,41,39,7,38,2,3,2,0,65,"sa3018093"
"Chandler Champlain","KCR","AAA",25,4,9,7.843575753305776,29,25,1,1,0,0,,119.1,565,160,113,104,20,51,0,7,4,2,100,"sa3018138"
"Robby Ahlstrom","TEX","AAA",26,2,4,3.5886072483683478,47,0,0,0,4,7,,52.2,231,45,32,21,4,34,0,1,4,0,51,"sa3018193"
"Ryan Webb","CLE","AAA",26,8,7,4.153846327974354,28,21,0,0,0,2,,121.1,521,100,61,56,12,61,0,10,8,0,119,"sa3018280"
"Yu-Min Lin","ARI","AAA",21,5,7,6.639344926612221,23,23,0,0,0,0,,101.2,481,124,81,75,18,60,0,7,4,0,85,"sa3019278"
"Jhancarlos Lara","ATL","AAA",22,0,5,6.529411764705882,28,9,0,0,0,0,,51,231,30,40,37,4,46,0,7,1,0,78,"sa3019367"
"Francis Pena","SDP","AAA",24,4,4,4.987261631207473,43,0,0,0,0,4,,52.1,237,50,33,29,4,34,0,2,4,1,47,"sa3019374"
"Anders Tolhurst","TOR","AAA",25,4,5,4.668224631922687,16,14,0,0,0,0,,71.1,306,65,40,37,12,31,0,3,3,1,60,"sa3019818"
"Matt Pushard","MIA","AAA",27,4,5,3.609625962986744,49,1,0,0,4,0,,62.1,256,49,27,25,3,23,0,2,5,1,73,"sa3019955"
"Dylan Ray","ARI","AAA",24,6,3,6.3,18,18,0,0,0,0,,90,405,107,65,63,18,38,0,4,6,2,70,"sa3020392"
"Duncan Davitt","TBR","AAA",25,2,5,5.400000401938864,13,13,0,0,0,0,,68.1,297,64,41,41,9,30,0,5,0,0,69,"sa3020394"
"JR Ritchie","ATL","AAA",22,3,2,3.016759519373759,11,11,0,0,0,0,,59.2,243,38,24,20,5,27,0,5,0,1,61,"sa3020395"
"Spencer Giesting","ARI","AAA",23,5,7,6.4663869691984655,17,17,0,0,0,0,,79.1,373,89,60,57,12,45,0,10,3,0,72,"sa3020402"
"Cameron Weston","BAL","AAA",24,5,9,4.588669605824919,29,26,0,0,0,0,,135.1,605,130,76,69,16,71,0,14,3,0,133,"sa3020528"
"Andrew Morris","MIN","AAA",23,4,6,4.0880286082983535,21,19,0,0,0,1,,94.2,398,98,49,43,11,28,0,4,4,1,89,"sa3020569"
"Gabriel Hughes","COL","AAA",23,4,3,5.108107686791688,14,14,1,1,0,0,,61.2,274,67,38,35,9,29,0,2,2,0,48,"sa3020661"
"Brendan Beck","NYY","AAA",26,8,3,4.441558441558442,15,15,0,0,0,0,,77,312,65,39,38,12,24,0,2,2,0,71,"sa3020680"
"Cory Lewis","MIN","AAA",24,4,6,7.273972602739726,24,11,0,0,0,3,,73,366,83,62,59,13,68,0,2,8,0,87,"sa3020702"
"Robby Snelling","MIA","AAA",21,6,2,1.2722512072617131,11,11,1,0,0,0,,63.2,246,46,11,9,4,17,0,1,1,0,81,"sa3020707"
"Tyler Schweitzer","CHW","AAA",24,2,2,7.92,15,10,0,0,0,0,,50,235,61,47,44,13,26,0,0,3,0,39,"sa3020712"
"Miguel Cienfuegos","SDP","AAA",28,1,3,5.297467842829466,24,6,0,0,1,0,,52.2,232,55,34,31,1,25,1,1,2,1,40,"sa3020816"
"Connor Noland","CHC","AAA",25,9,6,4.070352070897707,27,22,0,0,0,0,,132.2,579,133,69,60,13,55,0,4,3,2,115,"sa3020834"
"Austin Peterson","CLE","AAA",25,4,4,4.268382831840833,17,15,0,0,0,0,,90.2,386,94,44,43,10,30,0,5,1,0,78,"sa3020868"
"Kade Morris","OAK","AAA",23,7,7,5.216949422387562,19,19,1,1,0,0,,98.1,435,112,59,57,14,37,0,7,2,0,80,"sa3023206"
"Quinn Mathews","STL","AAA",24,4,7,3.925531914893617,22,22,0,0,0,0,,94,422,76,44,41,6,74,0,3,7,1,107,"sa3023407"
"Will Sanders","CHC","AAA",23,7,4,6.379746835443038,17,14,0,0,0,0,,79,356,87,64,56,14,33,0,8,7,1,79,"sa3023508"
"Erick Leal","NYY","AAA",30,8,10,5.613158345526311,28,26,1,1,0,0,,126.2,557,115,89,79,28,58,0,10,8,1,133,"sa657825"
"Jesus Liranzo","MIL","AAA",30,3,4,3.394286010243967,48,0,0,0,6,2,,58.1,248,48,34,22,6,23,0,6,5,1,64,"sa658076"
"Trey Supak","TEX","AAA",29,4,2,3.5485717379823294,12,12,0,0,0,0,,58.1,243,51,25,23,6,18,0,2,3,0,55,"sa828707"
"Bryan Mata","BOS","AAA",26,3,3,5.079208304468159,42,0,0,0,2,3,,67.1,320,73,44,38,6,39,0,7,11,2,93,"sa917784"
"Oddanier Mosqueda","STL","AAA",26,5,5,4.522843340234645,55,0,0,0,2,2,,65.2,280,51,36,33,7,31,1,8,6,1,68,"sa917882"
"Anderson Pilar","MIA","AAA",27,5,1,3.9619568502970863,48,3,0,0,5,1,,61.1,260,52,30,27,2,19,1,6,3,2,63,"sa917899"
"Curtis Taylor","STL","AAA",29,10,4,3.2111648106869586,31,24,1,0,1,0,,137.1,561,112,55,49,14,51,1,8,2,1,118,"sa917970"
"Wilkel Hernandez","DET","AAA",26,3,7,4.801749484748929,34,19,0,0,1,0,,114.1,497,119,63,61,14,44,0,6,3,0,96,"sa918026"
"Raul Brito","SDP","AAA",28,6,4,6.110526806522314,48,0,0,0,2,2,,63.1,297,72,44,43,10,35,0,6,9,1,82,"sa928287"
