Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Juan Fernandez","SDP","AA",24,412,0.290429042,1.262135922,0.215488215,0.437710437,0.346801346,0.213592233,0.067961165,0.51118211,0.23961661,0.24920128,0.11613774,521,960,1481,"sa917824"
"Joe Rizzo","MIA","AA",25,142,0.276595744,0.711111111,0.197916666,0.333333333,0.46875,0.266666666,0.066666666,0.41237113,0.27835052,0.30927835,0.11708253,175,346,521,"sa917934"
"Delvin Perez","NYY","AA",24,71,0.258064516,0.8,0.129032258,0.387096774,0.483870967,0.2,0.133333333,0.39393939,0.27272727,0.33333333,0.13758389,113,185,298,"sa917935"
"Hudson Potts","ATL","AA",24,271,0.260869565,0.622950819,0.181818181,0.314049586,0.504132231,0.327868852,0.13114754,0.51219512,0.25203252,0.23577236,0.20773381,416,696,1112,"sa917936"
"Tyler Neslony","CHW","AA",29,217,0.288,1.170212765,0.221374045,0.419847328,0.358778625,0.212765957,0.14893617,0.33333333,0.21969697,0.4469697,0.1199095,358,526,884,"sa918131"
"Brady Whalen","SFG","AA",25,156,0.275862068,0.724137931,0.159663865,0.352941176,0.487394957,0.189655172,0.086206896,0.51639344,0.2704918,0.21311475,0.11252269,178,373,551,"sa918278"
"Brandon Martorano","SFG","AA",25,248,0.277310924,0.677419354,0.147540983,0.344262295,0.508196721,0.112903225,0.096774193,0.392,0.296,0.312,0.14227642,389,595,984,"sa918686"
"Ramon Rodriguez","BAL","AA",24,137,0.22,1.303030303,0.247524752,0.425742574,0.326732673,0.303030303,0.09090909,0.30769231,0.22115385,0.47115385,0.10119048,187,317,504,"sa918698"
"Bret Boswell","COL","AA",28,251,0.255639097,0.96491228,0.182481751,0.401459854,0.416058394,0.192982456,0.105263157,0.46043165,0.24460432,0.29496403,0.14354067,417,628,1045,"sa918769"
"Armani Smith","MIN","AA",24,101,0.280701754,1.526315789,0.157894736,0.508771929,0.333333333,0.210526315,0.105263157,0.44067797,0.22033898,0.33898305,0.14180929,152,257,409,"sa918911"
"Eli Wilson","PIT","AA",24,65,0.282608695,0.869565217,0.122448979,0.408163265,0.469387755,0.173913043,0.130434782,0.52,0.32,0.16,0.10572687,75,152,227,"sa918961"
"Chavez Young","PIT","AA",25,218,0.262773722,1.050847457,0.129496402,0.446043165,0.424460431,0.237288135,0.033898305,0.43971631,0.23404255,0.32624113,0.0887372,343,536,879,"sa918963"
"Matt Fraizer","PIT","AA",25,486,0.313846153,1.007633587,0.193251533,0.404907975,0.40184049,0.190839694,0.061068702,0.40597015,0.21791045,0.3761194,0.09521359,686,1257,1943,"sa918983"
"Jose Mena","NYM","AA",26,92,0.3,1.173913043,0.137931034,0.465517241,0.396551724,0.173913043,0,0.55,0.3,0.15,0.2327044,87,231,318,"sa919893"
"Jhailyn Ortiz","PHI","AA",24,257,0.310077519,1.65,0.214814814,0.488888888,0.296296296,0.2,0.2,0.44525547,0.23357664,0.32116788,0.1740413,362,655,1017,"sa920180"
"Luis Santana","HOU","AA",23,268,0.26519337,1.037974683,0.161458333,0.427083333,0.411458333,0.316455696,0.151898734,0.56476684,0.21243523,0.22279793,0.12474849,360,634,994,"sa921577"
"Fabricio Macias","PIT","AA",25,55,0.305555555,1.25,0.25,0.416666666,0.333333333,0.166666666,0.083333333,0.37837838,0.2972973,0.32432432,0.10952381,78,132,210,"sa927338"
"Yasel Antuna","WSN","AA",23,141,0.184210526,1.03125,0.144736842,0.434210526,0.421052631,0.25,0.0625,0.48717949,0.28205128,0.23076923,0.12820513,239,346,585,"sa962601"
"Kevin Maitan","LAA","AA",23,200,0.304761904,1.181818181,0.307692307,0.375,0.317307692,0.212121212,0.03030303,0.46226415,0.23584906,0.30188679,0.17537313,308,496,804,"sa969045"
"Lazaro Armenteros","OAK","AA",24,405,0.365591397,1,0.214285714,0.392857142,0.392857142,0.129870129,0.181818181,0.435,0.245,0.32,0.15718475,740,965,1705,"sa969091"
