Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Miguel Palma","HOU","AA",23,18,58,66,8,5,3,0,0,2,2,8,0,15,0,0,0,4,0,0,0.137931034,"sa3009279"
"Frank Rodriguez","LAD","AA",23,17,48,53,9,8,1,0,0,4,2,4,0,10,0,0,1,2,0,0,0.1875,"sa3009330"
"Eddinson Paulino","TOR","AA",22,97,329,360,65,39,11,2,13,36,39,25,0,98,5,1,0,4,6,3,0.197568389,"sa3009538"
"Yohendrick Pinango","TOR","AA",23,47,161,192,48,29,10,1,8,18,23,27,0,42,3,1,0,2,5,0,0.298136645,"sa3009539"
"Nelson Quiroz","LAD","AA",23,25,88,99,26,22,2,2,0,9,14,10,0,6,0,1,0,3,0,0,0.295454545,"sa3009565"
"Evan Edwards","LAA","AA",28,36,111,129,17,13,2,0,2,5,11,12,0,41,3,3,0,1,1,0,0.153153153,"sa3009866"
"Carter Aldrete","OAK","AA",27,58,204,222,44,28,10,1,5,26,28,15,0,54,0,3,0,6,0,2,0.215686274,"sa3010008"
"Aaron Bracho","LAD","AA",24,35,134,148,26,16,5,0,5,15,16,11,0,35,1,2,0,1,3,2,0.19402985,"sa3010018"
"Jairo Pomares","SFG","AA",24,76,273,299,57,37,10,1,9,29,34,22,0,80,1,2,1,6,9,4,0.208791208,"sa3010023"
"Joe Naranjo","WSN","AA",24,103,348,418,79,61,14,1,3,45,35,61,0,98,3,4,2,7,2,0,0.227011494,"sa3010025"
