Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Austin Gomber","COL",5,12,0,30,30,165,6.327272727272727,2.0727272727272728,1.6363636363636365,0.2896281800391389,0.73142857,0.379888268,0.135135135,90.53192259933775,4.745454545454545,5.048001281189482,4.833146444956462,4.503848664236791,1.2757004499435425,"Austin Gomber",16561,596295
"Gavin Williams","CLE",3,10,0,16,16,76,9.355263157894736,3.789473684210526,0.8289473684210527,0.3080568720379147,0.66872428,0.405529953,0.084337349,96.63327858664773,4.855263157894737,4.211231759626588,3.666479778289795,4.120383695611044,1.2615587711334229,"Gavin Williams",30122,668909
"Kevin Ginkel","ARI",8,3,5,72,0,70,9.90000215802921,1.9285718489667292,0.7714287395866917,0.33157894736842103,0.71246819,0.438144329,0.086956521,96.1226097020934,3.2142864149445485,3.2519600841155496,2.852193995495217,3.2283166493307176,1.2587885856628418,"Kevin Ginkel",19876,656464
"Mitch Spence","OAK",8,10,0,35,24,151.1,7.493392605666754,2.6167402749947395,1.1894273977248817,0.31868131868131866,0.72727273,0.484143763,0.122699386,,4.579295481240794,4.125859886275133,4.210532716292747,4.121043966823202,1.2522693127393723,"Mitch Spence",27707,687765
"Patrick Sandoval","LAA",2,8,0,16,16,79.2,9.150627907170504,3.9539750216168845,0.9037657192267164,0.3407079646017699,0.66189624,0.45021645,0.102564102,93.99777631222943,5.08368217065028,4.262859786279048,3.8694086710216857,4.044345777258426,1.1981233358383179,"Patrick Sandoval",19447,663776
"Joe Mantiply","ARI",6,2,1,75,2,59.2,7.994416559671293,2.7150848693223257,0.15083804829568476,0.2982456140350877,0.62682216,0.529761904,0.017857142,89.4680913289388,3.921789255687804,3.1909282015651743,2.512848235675161,3.714063302810929,1.1928394436836243,"Joe Mantiply",14857,573009
"Fernando Cruz","CIN",3,8,0,69,3,66.2,14.715003087330512,4.72500099134466,1.2150002549171983,0.3358208955223881,0.69767442,0.357142857,0.176470588,94.80318019701087,4.860001019668793,4.0456676859426555,3.271479800319677,2.673166105548196,1.191009983420372,"Fernando Cruz",7048,518585
"Jhoan Duran","MIN",6,9,23,58,0,54.1,10.932516360840252,2.4846628092818754,0.6625767491418334,0.32116788321167883,0.61514196,0.608695652,0.137931034,100.42614032033426,3.644172120280084,2.757070958871258,2.8535963134172624,2.7035639763129105,1.1868946552276611,"Jhoan Duran",21029,661395
"JP Sears","OAK",11,13,0,32,32,180.2,6.824723631501913,2.440959547033531,1.3948340268763033,0.27169811320754716,0.72522983,0.372727272,0.108108108,92.25301067073171,4.383764084468382,4.418590045650366,4.710760308045702,4.863584175754567,1.18098783493042,"JP Sears",23429,676664
"Grant Holmes","ATL",2,1,0,26,7,68.1,9.219512881359035,1.9756099031483647,0.9219512881359035,0.31382978723404253,0.76502732,0.438144329,0.093333333,94.53659018987342,3.556097825667057,3.4575577550759085,3.195748073151252,3.5235622019413335,1.1776231229305267,"Grant Holmes",16944,656550
"Clay Holmes","NYY",3,5,30,67,0,63,9.714287478907899,3.1428577137643203,0.5714286752298764,0.3218390804597701,0.70528967,0.649717514,0.117647058,97.45304870605469,3.1428577137643203,3.2711709678446077,3.023622609482326,3.014230319070536,1.1592217683792114,"Clay Holmes",13649,605280
