Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Noah Cameron","KCR",3,4,0,12,12,70,7.457143263524914,2.828571582716347,0.9000000490461104,0.21808510638297873,0.86378738,0.450777202,0.094594594,92.3258210790849,2.314285840404284,3.2472021271155262,3.7260061991944626,4.049740703791145,1.2884642244981552,"Noah Cameron",30184,702070
"Clarke Schmidt","NYY",4,4,0,14,14,78.2,8.351695185247362,3.432203500786587,1.0296610502359762,0.2315270935960591,0.77956989,0.331753554,0.08910891,94.31874035250756,3.3177967174270346,3.005303418985182,3.953851229895878,4.438586041048839,1.277351762976748,"Clarke Schmidt",19899,657376
"Edward Cabrera","MIA",3,4,0,16,16,82.1,9.400810079567252,3.2793523533374134,0.9838057060012241,0.2995391705069124,0.76763485,0.455357142,0.115384615,96.81333684921265,3.607287588671155,3.9435063827380956,3.747579354401541,3.781651513300816,1.2651741955312703,"Edward Cabrera",21690,665795
"Germán Márquez","COL",3,10,0,19,19,95.1,6.702797430494445,2.9265735259905323,1.1328671713511738,0.3448275862068966,0.61614731,0.365853658,0.093023255,95.27138503178983,5.569930259143271,5.055739699607714,4.420012204754272,4.862034864430683,1.257417336576225,"German Marquez",15038,608566
"Jack Dreyer","LAD",2,2,0,37,5,48.1,8.75172584136691,3.537931723105772,0.18620693279504064,0.26356589147286824,0.70342205,0.37007874,0.017241379,92.55974519109151,2.97931092472065,2.286886966969451,2.6437400607745043,4.217932916206751,1.2544860484826268,"Jack Dreyer",30249,676263
"Bryan Abreu","HOU",3,3,0,42,0,42.1,14.031497501896219,4.251968939968551,0.6377953409952827,0.27710843373493976,0.91324201,0.352941176,0.096774193,97.26746851961377,1.7007875759874205,3.8376896571016634,2.502496540565997,2.7059985310106316,1.251472717136007,"Bryan Abreu",16609,650556
"Andrés Muñoz","SEA",3,1,21,37,0,36,11.500000323686344,3.500000098513235,0.25000000703665964,0.21518987341772153,0.73619632,0.525641025,0.041666666,99.0958967255383,1.500000042219958,2.9429333588175437,2.279180746212785,2.9420463572439655,1.2423189676488016,"Andres Munoz",20373,662253
"Landen Roupp","SFG",6,6,0,19,19,96.1,8.314879084802099,3.8304499154706297,0.7474048615552448,0.3192982456140351,0.74159021,0.472222222,0.087912087,93.04389953613281,3.269896269304196,4.136091561442394,3.7112261508048694,4.082570311898423,1.232756484308781,"Landen Roupp",30076,694738
"Ben Casparius","LAD",7,3,0,28,3,62.2,8.473405119015736,1.723404430986251,1.0053192514086464,0.3021978021978022,0.67484663,0.335106382,0.082352941,96.25491360835392,4.452128113381149,3.6708202361939146,3.331781262781974,3.9630105243731193,1.2276339830743666,"Ben Casparius",30085,676508
"Edwin Díaz","NYM",4,0,19,37,0,38,13.026316473957115,3.0789475302080453,0.47368423541662236,0.25,0.84337349,0.54054054,0.086956521,97.14588643897395,1.6578948239581783,2.2167908233606055,2.1929234107280346,2.438375957052671,1.2096409387675016,"Edwin Diaz",14710,621242
"Shane Baz","TBR",8,5,0,19,19,110,8.754545834044796,3.2727274145961855,1.3909091512033789,0.28125,0.77371048,0.490131578,0.155963302,96.6883896808235,4.172727453610136,3.7979820212247812,4.458473756884743,3.9713845632224816,1.1778585349781896,"Shane Baz",22264,669358
"Trevor Williams","WSN",3,10,0,17,17,82.2,7.076613202567044,2.286290419290891,1.1975806958190383,0.3467153284671533,0.61619718,0.329749103,0.094827586,87.88610919498113,6.205645423789561,4.4450394049927064,4.1322274073911895,4.557694519013855,1.1716220937795068,"Trevor Williams",16977,592866
"Trevor Rogers","BAL",2,1,0,6,6,35.1,8.150943909560576,2.54716997173768,0.254716997173768,0.2,0.83916084,0.483516483,0.03030303,93.41907071200283,1.528301983042608,3.0192991276804357,2.6308578872137436,3.6974668267220787,1.1597448105379156,"Trevor Rogers",22286,669432
"Will Vest","DET",5,1,15,40,0,43,10.046512567913252,3.1395351774728915,0.41860469032971886,0.2523364485981308,0.77669903,0.596330275,0.066666666,96.99138910413365,2.3023257968134536,2.3876114728432802,2.5588964783255586,3.025848886128218,1.156310066652771,"Will Vest",19769,676684
"Seth Lugo","KCR",6,5,0,17,17,101,7.841584528629593,2.76237636803997,1.3366337264709531,0.23863636363636365,0.87912088,0.387681159,0.129310344,92.14546915093474,2.6732674529419063,4.685738363748908,4.338311740101912,4.171697340219586,1.153641607278972,"Seth Lugo",12447,607625
"Shane Smith","CHW",3,7,0,18,18,86.2,8.411538800925207,3.8423078473362056,0.9346154223250229,0.2791666666666667,0.67028986,0.404858299,0.098901098,95.62241060042344,4.25769247948066,4.387454757634328,4.247984233946492,4.510747552537047,1.1418037943796004,"Shane Smith",31687,681343
"Bennett Sousa","HOU",3,0,3,30,0,37.1,10.848215521189848,1.9285716482115285,0.24107145602644106,0.2840909090909091,0.73619632,0.409090909,0.028571428,95.01004322788171,2.1696431042379696,2.607410494200756,1.7206488627389043,2.812401940637163,1.1341086065255035,"Bennett Sousa",21345,656986
"Emmanuel Clase","CLE",5,2,20,43,0,43.1,8.723077401018028,2.076923190718578,0.2076923190718578,0.328125,0.71942446,0.4609375,0.025,,2.9076924670060094,2.9573629075256727,2.471061075663071,3.5888750340414446,1.1339945001597043,"Emmanuel Clase",21032,661403
"Chris Paddack","MIN",3,8,0,19,19,100,6.3000001201629665,2.250000042915345,1.2600000240325933,0.28253968253968254,0.64631957,0.365325077,0.094594594,93.76626683285362,4.950000094413759,4.666856164640514,4.400291905593873,4.85352019597489,1.1157412882355575,"Chris Paddack",20099,663978
"Steven Matz","STL",5,2,1,28,2,51,7.94117812724709,1.588235625449418,0.7058825001997413,0.2980132450331126,0.6741573,0.447368421,0.075471698,,3.3529418759487712,3.113571813459732,2.9834291037391147,3.560020359849852,1.100184860044249,"Steven Matz",13361,571927
"Brendon Little","TOR",4,1,0,45,0,44.1,13.195492133968289,5.684211996170955,0.20300757129181984,0.29347826086956524,0.75539568,0.559139784,0.038461538,95.36256408691406,2.0300757129181983,2.682837849838611,2.4635999772552135,3.071158587802662,1.080201530689928,"Brendon Little",21574,663893
"Sean Newcomb","- - -",2,4,0,27,5,64.1,8.953368736973193,3.497409662880153,0.5595855460608246,0.3717277486910995,0.73170732,0.445026178,0.06557377,93.02274613943159,3.497409662880153,4.318078199877778,3.3112763539687537,3.959367634484835,1.0750802946099445,"Sean Newcomb",16943,656794
"David Bednar","PIT",2,5,13,36,0,32,12.656251214066405,2.5312502428132806,0.5625000539585069,0.3424657534246575,0.76023392,0.453333333,0.068965517,97.14797482749289,2.5312502428132806,2.983457480737035,2.0777917796396554,2.6572601665255924,1.0476485459503657,"David Bednar",19569,670280
