Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Jordan Lyles","TEX",0.25222025,0.6627907,0.43001007,0.76056338,0.88421053,0.84309133,0.43303122,0.59774436,0.06747231,0.18831823,0.25579053,"Jordan Lyles",7593,543475
"Deivi García","NYY",0.36666667,0.73706897,0.52819549,0.73636364,0.81871345,0.78647687,0.43609023,0.6369863,0.11278195,0.14285714,0.2556391,"Deivi Garcia",20276,665620
"Tarik Skubal","DET",0.34560907,0.72689076,0.49915398,0.63934426,0.8150289,0.74237288,0.40270728,0.57462687,0.1285956,0.12690355,0.25549915,"Tarik Skubal",22267,669373
"Tyler Alexander","DET",0.30027548,0.71610169,0.46410684,0.66055046,0.90532544,0.80935252,0.39398998,0.61184211,0.0884808,0.16694491,0.25542571,"Tyler Alexander",17735,641302
"Michael Wacha","NYM",0.34285714,0.72972973,0.50738916,0.69166667,0.83068783,0.77669903,0.42528736,0.53846154,0.11330049,0.14121511,0.2545156,"Michael Wacha",14078,608379
"Madison Bumgarner","ARI",0.32935561,0.73195876,0.4943662,0.73913043,0.91549296,0.84615385,0.40985915,0.67368421,0.07605634,0.17746479,0.25352113,"Madison Bumgarner",5524,518516
"Thomas Eshelman","BAL",0.30526316,0.63934426,0.45935728,0.71264368,0.92948718,0.85185185,0.46124764,0.57342657,0.06805293,0.1852552,0.25330813,"Thomas Eshelman",18361,664045
"Adrian Houser","MIL",0.33928571,0.71270718,0.48590022,0.68947368,0.86434109,0.79017857,0.39262473,0.62195122,0.10195228,0.15075922,0.2527115,"Adrian Houser",12718,605288
"Aníbal Sánchez","WSN",0.31641286,0.70603675,0.4691358,0.67914439,0.83643123,0.77192982,0.39197531,0.64897959,0.10699588,0.14506173,0.25205761,"Anibal Sanchez",3284,434671
"Antonio Senzatela","COL",0.27727273,0.71698113,0.46174142,0.68306011,0.9005848,0.8247619,0.41952507,0.62376238,0.08091469,0.17062445,0.25153914,"Antonio Senzatela",15488,622608
"Ryan Castellani","COL",0.25054466,0.68791946,0.42272127,0.6,0.88292683,0.78125,0.39365918,0.61375661,0.09247028,0.15852048,0.25099075,"Ryan Castellani",16377,624418
"Patrick Corbin","WSN",0.3775351,0.68618267,0.50093633,0.65702479,0.89419795,0.78691589,0.39981273,0.64067797,0.10674157,0.14325843,0.25,"Patrick Corbin",9323,571578
"Johnny Cueto","SFG",0.29361702,0.69772727,0.4489083,0.71980676,0.87947883,0.8151751,0.38427948,0.55595668,0.08296943,0.16681223,0.24978166,"Johnny Cueto",6893,456501
"Brad Keller","KCR",0.27061311,0.69350649,0.46037296,0.6328125,0.90636704,0.81772152,0.44871795,0.57209302,0.08391608,0.16433566,0.24825175,"Brad Keller",15734,641745
